,Year,Title,Role,Actor,Producer,Screenwriter,Notes
0,1989,Going Overboard,Schecky Moskowitz,,,,
1,1991,Shakes the Clown,Dink the Clown,,,,
2,1993,Coneheads,Carmine Weiner,,,,
3,1994,Airheads,"Pip, the drummer",,,,
4,1994,Mixed Nuts,Louie Capshaw,,,,
5,1995,Billy Madison,Billy Madison,,,,
6,1996,Happy Gilmore,Happy Gilmore,,,,
7,1996,Bulletproof,Archie Moses,,,,
8,1998,The Wedding Singer,Robbie Hart,,,,
9,1998,Dirty Work,Satan,,,,Uncredited cameo[1]
10,1998,The Waterboy,"Robert ""Bobby"" Boucher, Jr.",,,,Executive producer
11,1999,Big Daddy,Sonny Koufax,,,,Executive producer
12,1999,Deuce Bigalow: Male Gigolo,Robert Justin,,,,Uncredited voice cameo[2] Executive producer
13,2000,Little Nicky,"Nicholas ""Littly Nicky"", 3rd son of Satan",,,,Executive producer
14,2001,Joe Dirt,,,,,Executive producer
15,2001,The Concert for New York City,Operaman,,,,Cameo
16,2001,The Animal,Townie,,,,CameoExecutive producer
17,2002,Punch-Drunk Love,Barry Egan,,,,
18,2002,Blossoms and Blood,Barry Egan,,,,Short film on Punch Drunk Love
19,2002,Mr. Deeds,Mr. Longfellow Deeds,,,,Executive producer
20,2002,The Master of Disguise,,,,,Executive producer
21,2002,Eight Crazy Nights,Davey Stone / Whitey Duvall / Eleanor Duvall / Deer,,,,Voice
22,2002,A Day with the Meatball,Himself,,,,Short film
23,2002,The Hot Chick,Mambuza Bongo Guy,,,,Uncredited cameo[3]Executive producer
24,2003,Pauly Shore Is Dead,Himself,,,,Voice cameo
25,2003,Stupidity,Himself,,,,Documentary
26,2003,Couch,Couch Testing Guy,,,,Short film
27,2003,Anger Management,Dave Buznik,,,,Executive producer
28,2003,My Buddy Jack,Himself,,,,Documentary short film on Anger Management
29,2003,Dickie Roberts: Former Child Star,,,,,
30,2004,50 First Dates,Henry Roth,,,,
31,2004,The Cookout,,,,,
32,2004,Spanglish,John Clasky,,,,
33,2005,The Longest Yard,Paul Crewe,,,,Executive producer
34,2005,Deuce Bigalow: European Gigolo,Javier Sandooski,,,,Uncredited cameo[4]
35,2006,Grandma's Boy,,,,,Executive producer
36,2006,The Benchwarmers,,,,,
37,2006,Click,Michael Newman,,,,
38,2007,Reign Over Me,"Charles ""Charlie"" Fineman",,,,
39,2007,I Now Pronounce You Chuck & Larry,"Charles ""Chuck"" Levine",,,,
40,2008,Strange Wilderness,,,,,Executive producer
41,2008,You Don't Mess with the Zohan,Zohan Dvir / Scrappy Coco,,,,
42,2008,The House Bunny,,,,,
43,2008,Bedtime Stories,Skeeter Bronson,,,,
44,2009,Paul Blart: Mall Cop,,,,,
45,2009,Funny People,George Simmons,,,,
46,2009,The Shortcut,,,,,Executive producer
47,2010,Grown Ups,"Leonard ""Lenny"" Feder",,,,
48,2011,Just Go with It,"Dr. Daniel ""Danny"" Maccabee",,,,
49,2011,Zookeeper,Donald the Capuchin Monkey,,,,Voice
50,2011,Pearl Jam 20,Opera Man,,,,Uncredited
51,2011,Bucky Larson: Born to Be a Star,,,,,
52,2011,Jack and Jill,Jack & Jill Sadelstein,,,,
53,2012,That's My Boy,Donny Berger,,,,
54,2012,Sesame Street: Singing with the Stars,Himself,,,,
55,2012,Hotel Transylvania,"Count ""Drac"" Dracula",,,,VoiceExecutive producer
56,2012,Here Comes the Boom,,,,,Executive producer
57,2012,Bad Toys II,,,,,"Short film, Producer"
58,2012,12-12-12,Himself,,,,Uncredited cameo
59,2013,Grown Ups 2,"Leonard ""Lenny"" Feder",,,,
60,2014,Blended,Jim Friedman,,,,
61,2014,Top Five,Himself,,,,Cameo
62,2014,"Men, Women & Children",Don Truby,,,,
63,2014,The Cobbler,Max Simkin,,,,
64,2015,Paul Blart: Mall Cop 2,,,,,
65,2015,Joe Dirt 2: Beautiful Loser,,,,,Executive producer
66,2015,Pixels,Sam Brenner,,,,
67,2015,I Am Chris Farley,Himself,,,,Documentary (cameo)
68,2015,Hotel Transylvania 2,"Count ""Drac"" Dracula",,,,VoiceExecutive producer
69,2015,The Ridiculous 6,"Tommy ""White Knife"" Stockburn",,,,
70,2016,The Do-Over,Max Kessler,,,,
71,2016,True Memoirs of an International Assassin,,,,,Executive producer
72,2017,Sandy Wexler,Sandy Wexler,,,,
73,2017,The Meyerowitz Stories (New and Selected),Danny Meyerowitz,,,,
74,2017,Puppy!,"Count ""Drac"" Dracula",,,,VoiceShort film
75,2018,The Week Of,Kenny Lustig,,,,
76,2018,Father of the Year,,,,,Executive producer
77,2018,The Zen Diaries of Garry Shandling,Himself,,,,Uncredited voice cameo
78,2018,Hotel Transylvania 3: Summer Vacation,"Count ""Drac"" Dracula",,,,Voice
79,2018,Adam Sandler: 100% Fresh,Himself,,,,Stand-up film
80,2019,Murder Mystery,Nick Spitz,,,,
81,2019,Uncut Gems[5],Howard Ratner,,,,
82,2020,Goldman v Silverman,Rod Goldman,,,,Short film
83,2020,Nature Planet,Narrator,,,,Short film
84,2020,Adam Sandler: Funny Guy,Himself,,,,stand up film
85,2020,The Wrong Missy,,,,,
86,2020,Hubie Halloween,Hubie Dubois,,,,
87,2022,Home Team,,,,,
88,2022,Hustle,"Stanley ""Sugarman"" Beren",,,,
89,2022,Spaceman,Jakub Prochãzka,,,,Post-production
90,2022,Finding Sandler,Himself,,,,Post-production
91,2022,The Out-Laws,,,,,Post-production
92,2022,Norm Macdonald: Nothing Special,Himself,,,,Stand up special[6]
93,TBA,Murder Mystery 2,Nick Spitz,,,,Post-production
