,Year,Title,Role,Notes,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Refs.
0,1994,Prince of Jutland,Torsten,aka Royal Deceit,
1,1995,The Near Room,Bunny,,
2,1996,Stella Does Tricks,Fitz,,
3,1997,Mojo,Potts,,
4,1997,Career Girls,Nick Evans,,
5,1997,Loop,Bill,,
6,1998,Sweety Barrett,Leo King,,
7,1998,Among Giants,Bob,,
8,1998,Clueless,David,Short film,
9,1998,Insomnia,Harry,Short film,
10,1999,Topsy-Turvy,John D'Auban,,
11,2000,Jump,Shaun,Short film,
12,2000,Shiner,Mel,,
13,2000,Pandaemonium,John Thelwall,,
14,2000,The Jolly Boys' Last Stand,Spider,,
15,2001,The Lord of the Rings: The Fellowship of the Ring,Gollum,Voice,[1]
16,2002,The Lord of the Rings: The Two Towers,Gollum,Voice and motion capture,[2]
17,2002,The Escapist,Ricky Barnes,,
18,2002,Deathwatch,Pvt. Thomas Quinn,,
19,2002,24 Hour Party People,Martin Hannett,,
20,2003,Standing Room Only,Granny / Rastafarian / Hunter Jackson,,
21,2003,The Lord of the Rings: The Return of the King,Gollum / Sméagol,Voice and motion capture of Gollum,
22,2004,Blessed,Father Carlo,,
23,2004,13 Going on 30,Richard Kneeland,,
24,2005,King Kong,Kong / Lumpy,Motion capture of Kong,[3]
25,2006,Stormbreaker,Mr. Grin,,
26,2006,The Prestige,Mr. Alley,,
27,2006,Flushed Away,Spike,Voice,
28,2006,Longford,Ian Brady,,
29,2007,Extraordinary Rendition,Lead Interrogator,,
30,2007,Sugarhouse,Hoodwink,,
31,2008,The Cottage,David,,
32,2008,Inkheart,Capricorn,,
33,2010,Sex & Drugs & Rock & Roll,Ian Dury,Also executive producer,
34,2010,Brighton Rock,Mr. Colleoni,,
35,2010,Animals United,Charles,Voice; English dub,
36,2010,Burke and Hare,William Hare,,
37,2011,Rise of the Planet of the Apes,Caesar,Voice and motion capture,[3]
38,2011,Death of a Superhero,Dr. Adrian King,,
39,2011,Wild Bill,Glen,,
40,2011,The Adventures of Tintin,Captain Haddock / Sir Francis Haddock,Voices and motion capture,
41,2011,Arthur Christmas,General Elf,Voice; cameo,
42,2012,The Hobbit: An Unexpected Journey,Gollum,Voice and motion capture; also second unit director,
43,2013,The Hobbit: The Desolation of Smaug,—,Second unit director,
44,2014,Godzilla,—,Motion capture consultant,
45,2014,Dawn of the Planet of the Apes,Caesar,Voice and motion capture,[3]
46,2014,The Hobbit: The Battle of the Five Armies,—,Second unit director,
47,2015,Avengers: Age of Ultron,Ulysses Klaue,Also motion capture consultant,[4][5]
48,2015,Star Wars: The Force Awakens,Supreme Leader Snoke,Voice and motion capture,[6]
49,2017,War for the Planet of the Apes,Caesar,Voice and motion capture,
50,2017,Breathe,—,Director,
51,2017,The Ritual,—,Producer,
52,2017,Star Wars: The Last Jedi,Snoke,Voice and motion capture,[7]
53,2018,Black Panther,Ulysses Klaue,,
54,2018,Mowgli: Legend of the Jungle,Baloo,Voice and motion capture; also director,[8]
55,2019,Long Shot,Parker Wembley,,
56,2019,Star Wars: The Rise of Skywalker,Snoke,Voice; cameo,[9]
57,2020,A Christmas Carol,Marley's Ghost,Voice,
58,2021,SAS: Red Notice,George Clements,,[10]
59,2021,No One Gets Out Alive,—,Executive producer,[11]
60,2021,Venom: Let There Be Carnage,—,Director,[12]
61,2022,The Batman,Alfred Pennyworth,,
62,TBA,Next Goal Wins,—,Executive producer; post-production,
63,TBA,Luther,TBA,Filming,[13]
64,TBA,Animal Farm,—,Director; development,[14]
