,Year,Title,Voice role,Notes,Refs.
0,2002,The Lord of the Rings: The Two Towers,Gollum,Archive voice,
1,2003,The Lord of the Rings: The Return of the King,Gollum / The Witch-king,,
2,2004,The Lord of the Rings: The Battle for Middle-earth,Smeagol / Gollum / The Witch King,,
3,2005,King Kong: The Official Game of the Movie,Lumpy,,
4,2006,The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king,The Witch King / Gollum,,[3]
5,2007,Heavenly Sword,King Bohan,Also motion capture and dramatic director,[3]
6,2009,Risen,The Inquisitor,,
7,2010,Enslaved: Odyssey to the West,Monkey / Pyramid,Also motion capture,
8,2012,Lego The Lord of the Rings,Gollum,Archive voice,
9,2014,Lego The Hobbit,Gollum,Archive voice,
10,2015,Volume,Guy Gisborne,,
11,2016,Lego Star Wars: The Force Awakens,Supreme Leader Snoke,Archive voice; uncredited,
12,2022,"Warhammer 40,000: Chaos Gate - Daemonhunters",Grand Master Vardan Kai,,[20]
