,Year,Title,Role,Notes,Ref(s)
0,2001,The Princess Diaries,Mia Thermopolis,,[13]
1,2001,The Other Side of Heaven,Jean Sabin,,[14]
2,2002,Nicholas Nickleby,Madeline Bray,,[15]
3,2003,The Cat Returns,Haru Yoshioka,Voice,[16]
4,2004,Ella Enchanted,Ella of Frell,,[17]
5,2004,The Princess Diaries 2: Royal Engagement,Mia Thermopolis,,[18]
6,2005,Hoodwinked!,Red Puckett,Voice,[19]
7,2005,Havoc,Allison Lang,,[20]
8,2005,Brokeback Mountain,Lureen Newsome Twist,,[21]
9,2006,The Devil Wears Prada,Andy Sachs,,[22]
10,2007,Becoming Jane,Jane Austen,,[23]
11,2008,Get Smart,Agent 99,,[24]
12,2008,Get Smart's Bruce and Lloyd: Out of Control,Agent 99,Uncredited cameo,[25]
13,2008,Rachel Getting Married,Kym Buchman,,[26]
14,2008,Passengers,Claire Summers,,[27]
15,2009,Bride Wars,Emma Allen,,[28]
16,2009,Valentino: The Last Emperor,Herself,Documentary,[29]
17,2010,Valentine's Day,Liz Curran,,[30]
18,2010,Alice in Wonderland,Mirana / White Queen,,[31]
19,2010,Love & Other Drugs,Maggie Murdock,,[32]
20,2010,10 Mountains 10 Years,Narrator,VoiceDocumentary,[33]
21,2011,Rio,Jewel,Voice,[34]
22,2011,One Day,Emma Morley,,[35]
23,2012,The Dark Knight Rises,Selina Kyle / Catwoman,,[36]
24,2012,Les Misérables,Fantine,,[37]
25,2013,Girl Rising,Narrator,VoiceDocumentary,[38]
26,2013,Don Jon,Emily Lombardo,Cameo,[39]
27,2014,Song One,Franny Ellis,Also producer,[40]
28,2014,Rio 2,Jewel,Voice,[41]
29,2014,Don Peyote,Agent of TRUTH,Cameo,[42]
30,2014,Interstellar,Dr. Amelia Brand,,[43]
31,2015,The Intern,Jules Ostin,,[44]
32,2016,Alice Through the Looking Glass,Mirana / White Queen,,[45]
33,2016,Colossal,Gloria,,[46]
34,2018,Ocean's 8,Daphne Kluger,,[47]
35,2019,Serenity,Karen Zariakas,,[48]
36,2019,The Hustle,Josephine Chesterfield,,[49]
37,2019,Dark Waters,Sarah Barlage Bilott,,[50]
38,2020,The Last Thing He Wanted,Elena McMahon,,[51]
39,2020,The Witches,The Grand High Witch,,[52]
40,2021,Locked Down,Linda,,[53]
41,2022,Armageddon Time,Esther Graff,Post-production,[54]
42,TBA,Eileen,Rebecca Saint John,Post-production,[55]
43,TBA,Mothers' Instinct,Celine,Filming,[56]
