,Year,Title,Actor,Director,Producer,Writer,Role,Notes,Ref(s)
0,1987,Hot Pursuit,Yes,No,No,No,Chris Honeywell,,
1,1987,Empire of the Sun,Yes,No,No,No,Dainty,,
2,1987,Shoeshine,Yes,No,No,No,Investment banker,,
3,1988,Fresh Horses,Yes,No,No,No,Tipton,,
4,1989,That's Adequate,Yes,No,No,No,Chip Lane,,
5,1989,Next of Kin,Yes,No,No,No,Lawrence Isabella,,
6,1989,Elvis Stories,Yes,Yes,No,Yes,Bruce,Short film,
7,1990,Stella,Yes,No,No,No,Jim Uptegrove,,
8,1990,Working Tra$h,Yes,No,No,No,Freddy Novak,,
9,1991,Highway to Hell,Yes,No,No,No,Pluto's Cook / Attila The Hun,,
10,1992,The Nutt House,Yes,No,No,No,Pie Thrower,,
11,1994,Reality Bites,Yes,Yes,No,No,Michael Grates,,
12,1995,Heavyweights,Yes,No,No,No,Tony Perkis / Tony Perkis Sr.,,
13,1996,Happy Gilmore,Uncredited,No,No,No,Hal L.,,[1]
14,1996,If Lucy Fell,Yes,No,No,No,Bwick Elias,,
15,1996,Flirting with Disaster,Yes,No,No,No,Mel Coplin,,
16,1996,The Cable Guy,Yes,Yes,No,Uncredited,Sam Sweet / Stan Sweet,,
17,1998,Zero Effect,Yes,No,No,No,Steve Arlo,,
18,1998,There's Something About Mary,Yes,No,No,No,Ted Stroehmann,,
19,1998,Your Friends & Neighbors,Yes,No,No,No,Jerry,,
20,1998,Permanent Midnight,Yes,No,No,No,Jerry Stahl,,
21,1999,The Suburbans,Yes,No,No,No,Jay Rose,,
22,1999,Mystery Men,Yes,No,No,No,Mr. Furious / Roy,,
23,1999,Black and White,Yes,No,No,No,Mark Clear,,
24,2000,The Independent,Yes,No,No,No,Cop,Cameo,
25,2000,Keeping the Faith,Yes,No,No,No,Rabbi Jake Schram,,
26,2000,Meet the Parents,Yes,No,No,No,"Gaylord ""Greg"" Focker",,
27,2001,Zoolander,Yes,Yes,Yes,Yes,Derek Zoolander,,
28,2001,The Royal Tenenbaums,Yes,No,No,No,Chas Tenenbaum,,
29,2002,Orange County,Yes,No,No,No,The Firefighter,Cameo,
30,2002,Run Ronnie Run,Yes,No,No,No,Himself,Cameo,
31,2003,Crooked Lines,No,No,Executive,No,—,,
32,2003,Duplex,Yes,No,Yes,No,Alex Rose,,
