,Year,Title,Credited as,Credited as,Role,Notes,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
,Year,Title,Actor,Producer,Role,Notes,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
0,1987,Hunk,Yes,No,Guy at beach with drink,Uncredited,[23]
1,1987,No Way Out,Yes,No,Black-tie party guest,Uncredited,[24]
2,1987,No Man's Land,Yes,No,Waiter,Uncredited,[25]
3,1987,Less Than Zero,Yes,No,Partygoer/Preppie guy at fight,Uncredited,[25]
4,1988,The Dark Side of the Sun,Yes,No,Rick,,[25]
5,1989,Happy Together,Yes,No,Brian,,[26]
6,1989,Cutting Class,Yes,No,Dwight Ingalls,,[27]
7,1991,Across the Tracks,Yes,No,Joe Maloney,,[28]
8,1991,Thelma & Louise,Yes,No,J.D.,,[29]
9,1991,Johnny Suede,Yes,No,Johnny Suede,,[30]
10,1992,Cool World,Yes,No,Frank Harris,,[31]
11,1992,Contact,Yes,No,Cox,Short film,[32]
12,1992,A River Runs Through It,Yes,No,Paul Maclean,,[33]
13,1993,Kalifornia,Yes,No,Early Grayce,,[34]
14,1993,True Romance,Yes,No,Floyd,,[35]
15,1994,The Favor,Yes,No,Elliott Fowler,,[36]
16,1994,Interview with the Vampire,Yes,No,Louis de Pointe du Lac,,[37]
17,1994,Legends of the Fall,Yes,No,Tristan Ludlow,,[38]
18,1995,Seven,Yes,No,David Mills,,[39]
19,1995,12 Monkeys,Yes,No,Jeffrey Goines,,[40]
20,1996,Sleepers,Yes,No,Michael Sullivan,,[41]
21,1997,The Devil's Own,Yes,No,Rory Devaney (Francis Austin McQuire),,[42]
22,1997,Seven Years in Tibet,Yes,No,Heinrich Harrer,,[43]
23,1998,Meet Joe Black,Yes,No,"Young Man in Coffee Shop/Death as ""Joe Black""",,[44]
24,1999,Fight Club,Yes,No,Tyler Durden,,[45]
25,1999,Being John Malkovich,Yes,No,Himself,Uncredited cameo,[46]
26,2000,Snatch,Yes,No,Mickey O'Neil,,[47]
27,2001,The Mexican,Yes,No,Jerry Welbach,,[48]
28,2001,Spy Game,Yes,No,Tom Bishop,,[49]
29,2001,Ocean's Eleven,Yes,No,Rusty Ryan,,[50]
30,2002,Confessions of a Dangerous Mind,Yes,No,Brad,Cameo,[51]
31,2003,Sinbad: Legend of the Seven Seas,Yes,No,Sinbad (voice),,[52]
32,2004,Troy,Yes,No,Achilles,,[53]
33,2004,Ocean's Twelve,Yes,No,Rusty Ryan,,[54]
34,2005,Mr. & Mrs. Smith,Yes,No,John Smith,,[55]
35,2006,God Grew Tired of Us,No,Executive,—,,[56]
36,2006,The Departed,No,Yes,—,,[57]
37,2006,Running with Scissors,No,Yes,—,,[58]
38,2006,Babel,Yes,No,Richard Jones,,[59]
39,2007,The Tehuacan Project,No,Executive,—,Short film,[60]
40,2007,Year of the Dog,No,Executive,—,,[61]
