,Year,Title,Role,Notes,Ref(s)
0,1980,The First Deadly Sin,Man entering diner,Uncredited,[11]
1,1982,The Verdict,Courtroom observer,Uncredited,[12]
2,1987,Blind Date,Walter Davis,,[13]
3,1988,Sunset,Tom Mix,,[14]
4,1988,Die Hard,John McClane,,[15]
5,1989,In Country,Emmett Smith,,[16]
6,1989,Look Who's Talking,Mikey,Voice role,[17]
7,1990,Die Hard 2,John McClane,,[18]
8,1990,Look Who's Talking Too,Mikey,Voice role,[19]
9,1990,The Bonfire of the Vanities,Peter Fallow,,[20]
10,1991,Mortal Thoughts,James Urbanski,,[21]
11,1991,Hudson Hawk,Hudson Hawk,"Also credited with ""story by""",[22]
12,1991,Billy Bathgate,Bo Weinberg,,[23]
13,1991,The Last Boy Scout,Joe Hallenbeck,,[24]
14,1992,The Player,Himself,Cameo,[25]
15,1992,Death Becomes Her,Dr. Ernest Menville,,[26]
16,1993,Loaded Weapon 1,John McClane,Uncredited,[27]
17,1993,Striking Distance,Tom Hardy,,[28]
18,1994,Pulp Fiction,Butch Coolidge,,[29]
19,1994,North,Narrator,,[30]
20,1994,Color of Night,Dr. Bill Capa,,[31]
21,1994,Nobody's Fool,Carl Roebuck,,[32]
22,1995,Die Hard with a Vengeance,John McClane,,[33]
23,1995,Four Rooms,Leo,"Uncredited; segment: ""The Man from Hollywood""",[34]
24,1995,12 Monkeys,James Cole,,[35]
25,1996,Last Man Standing,John Smith,,[36]
26,1996,Beavis and Butt-Head Do America,Muddy Grimes,Voice role,[37]
27,1997,The Fifth Element,Korben Dallas,,[38]
28,1997,The Jackal,The Jackal,,[39]
29,1998,Mercury Rising,Art Jeffries,,[40]
30,1998,Armageddon,Harry S. Stamper,,[41]
31,1998,The Siege,General William Devereaux,,[42]
32,1999,Breakfast of Champions,Dwayne Hoover,,[43]
33,1999,The Sixth Sense,Malcolm Crowe,,[44]
34,1999,The Story of Us,Ben Jordan,,[45]
35,2000,The Whole Nine Yards,Jimmy Tudeski,,[46]
36,2000,The Kid,Russ Duritz,,[47]
37,2000,Unbreakable,David Dunn,,[48]
38,2001,Bandits,Joe Blake,,[49]
39,2002,Hart's War,Col. William A. McNamara,,[50]
40,2002,Grand Champion,Mr. Blandford,,[51]
41,2002,The Crocodile Hunter: Collision Course,—,Executive producer,[52]
42,2003,Tears of the Sun,Lieutenant A.K. Waters,,[53]
43,2003,Rugrats Go Wild,Spike,Voice role,[54]
44,2003,Charlie's Angels: Full Throttle,William Rose Bailey,Uncredited,[55]
45,2004,The Whole Ten Yards,Jimmy Tudeski,,[56]
46,2004,Ocean's Twelve,Himself,Cameo,[57]
47,2005,Hostage,Jeff Talley,Also producer,[58]
48,2005,Sin City,John Hartigan,Segment: That Yellow Bastard,[59]
49,2006,Alpha Dog,Sonny Truelove,,[60]
50,2006,Lucky Number Slevin,Mr. Goodkat,,[61]
51,2006,16 Blocks,Jack Mosley,,[62]
52,2006,Over the Hedge,RJ,Voice role,[63]
53,2006,Fast Food Nation,Harry Rydell,,[64]
54,2006,The Astronaut Farmer,Doug Masterson,Uncredited,[65]
55,2006,Hammy's Boomerang Adventure,RJ,Voice role; short film,[66]
56,2006,The Hip Hop Project,Himself,Also executive producer; documentary film,[67]
57,2007,Perfect Stranger,Harrison Hill,,[68]
58,2007,Planet Terror,Lt. Muldoon,,[69]
59,2007,Live Free or Die Hard,John McClane,,[70]
60,2007,Nancy Drew,Himself,Uncredited cameo,[71]
61,2008,Assassination of a High School President,Principal Jared T. Kirkpatrick,Direct-to-video,[72]
62,2008,What Just Happened,Himself,,[73]
63,2009,Surrogates,Tom Greer,,[74]
64,2010,Cop Out,Jimmy Monroe,,[75]
65,2010,The Expendables,Mr. Church,Uncredited cameo,[76]
66,2010,Red,Frank Moses,,[77]
67,2011,Setup,Biggs,Direct-to-video,[78]
68,2011,Catch .44,Mel,Direct-to-video,[79]
69,2011,The Black Mamba,Mr. Suave,Short film,[80]
70,2012,Lay the Favorite,Dink Heimowitz,,[81]
71,2012,The Cold Light of Day,Martin Shaw,,[82]
72,2012,Moonrise Kingdom,Captain Sharp,,[83]
73,2012,The Expendables 2,Mr. Church,,[84]
74,2012,Looper,Old Joe,,[85]
75,2012,Fire with Fire,Mike Cella,Direct-to-video,[86]
76,2013,A Good Day to Die Hard,John McClane,,[87]
77,2013,G.I. Joe: Retaliation,General Joseph Colton,,[88]
78,2013,Red 2,Frank Moses,,[89]
79,2014,Sin City: A Dame to Kill For,John Hartigan,,[90]
80,2014,The Prince,Omar,Direct-to-video,[91]
81,2015,Vice,Julian Michaels,Direct-to-video,[92]
82,2015,Rock the Kasbah,Bombay Brian,,[93]
83,2015,Extraction,Leonard Turner,Direct-to-video,[94]
84,2016,Precious Cargo,Eddie Pilosa,Direct-to-video,[95]
85,2016,Marauders,Jeffrey Hubert,Direct-to-video,[96]
86,2016,Split,David Dunn,Uncredited cameo,[97]
87,2017,Once Upon a Time in Venice,Steve Ford,Direct-to-video,[98]
88,2017,First Kill,Marvin Howell,Direct-to-video,[99]
89,2018,Acts of Violence,Detective James Avery,Direct-to-video,[100]
90,2018,Death Wish,Paul Kersey,,[101]
91,2018,Reprisal,James,Direct-to-video,[102]
92,2018,Air Strike,Jack,Direct-to-video,[103]
93,2019,Glass,David Dunn,,[104]
94,2019,The Lego Movie 2: The Second Part,Himself,Cameo,[105]
95,2019,Motherless Brooklyn,Frank Minna,,[106]
96,2019,10 Minutes Gone,Rex,Direct-to-video,[107]
97,2019,Trauma Center,Lt. Steve Wakes,Direct-to-video,[108]
98,2020,Survive the Night,Frank Clark,Direct-to-video,[109]
99,2020,Hard Kill,Donovan Chalmers,Direct-to-video,[110]
100,2020,Breach,Clay Young,Direct-to-video,[111]
101,2021,Cosmic Sin,James Ford,Direct-to-video,[112]
102,2021,Out of Death,Jack Harris,Direct-to-video,[113]
103,2021,Midnight in the Switchgrass,Karl Helter,,[114]
104,2021,Survive the Game,David Watson,Direct-to-video,[115]
105,2021,Apex,Thomas Malone,Direct-to-video,[116]
106,2021,Deadlock,Ron Whitlock,Direct-to-video,[117]
107,2021,Fortress,Robert Michaels,Direct-to-video,[118]
108,2022,American Siege,Ben Watts,Direct-to-video,[119]
109,2022,Gasoline Alley,Detective Freeman,Direct-to-video,[120]
110,2022,A Day to Die,Alston,Direct-to-video,[121]
111,2022,Corrective Measures,Julius Loeb,Direct-to-video,[122]
112,2022,Fortress: Sniper's Eye,Robert Michaels,Direct-to-video,[123]
113,2022,Vendetta,Donnie Fetter,Direct-to-video,[124]
114,2022,White Elephant,Arnold Solomon,Direct-to-video,[125]
115,2022,Wrong Place,Frank Richards,Direct-to-video,[126]
116,2022,Die Like Lovers,TBA,Direct-to-video,[127]
117,2022,Wire Room,Shane Mueller,Direct-to-video,[128]
118,2022,Paradise City,Ryan Swan,Direct-to-video,[129]
