,Year,Title,Role,Notes,Ref(s)
0,1967,The Tiger Makes Out,Hap,,[7]
1,1967,The Graduate,"Benjamin ""Ben"" Braddock",,[7]
2,1968,Madigan's Millions,Jason Fister,,[7]
3,1969,Midnight Cowboy,"Enrico Salvatore ""Ratso"" Rizzo",,[7]
4,1969,John and Mary,John,,[7]
5,1970,Little Big Man,Jack Crabb,,[7]
6,1971,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Georgie Soloway,,[7]
7,1971,Straw Dogs,David Sumner,,[7]
8,1972,"Alfredo, Alfredo",Alfredo Sbisà,,[7]
9,1973,Papillon,Louis Dega,,[7]
10,1974,Lenny,Lenny Bruce,,[7]
11,1976,All the President's Men,Carl Bernstein,,[7]
12,1976,Marathon Man,"Thomas Babington ""Babe"" Levy",,[7]
13,1978,Straight Time,Max Dembo,Also producer,[7]
14,1979,Agatha,Wally Stanton,,[7]
15,1979,Kramer vs. Kramer,Ted Kramer,,[7]
16,1982,Tootsie,Michael Dorsey / Dorothy Michaels,,[7]
17,1987,Ishtar,Chuck Clarke,,[7]
18,1988,Rain Man,"Raymond ""Ray"" Babbitt",,[7]
19,1989,Common Threads: Stories from the Quilt,Narrator,Documentary,[8]
20,1989,Family Business,Vito McMullen,,[7]
21,1990,Dick Tracy,Mumbles,,[7]
22,1991,Billy Bathgate,Dutch Schultz,,[7]
23,1991,Hook,Captain James Hook,,[7]
24,1992,Hero,"Bernard ""Bernie"" Laplante",,[7]
25,1995,Outbreak,Colonel Sam Daniels,,[7]
26,1996,Sleepers,Danny Snyder,,[7]
27,1996,American Buffalo,"Walt ""Teach"" Teacher",,[7]
28,1997,Mad City,Max Brackett,,[7]
29,1997,Wag the Dog,Stanley Motss,,[7]
30,1998,Sphere,Dr. Norman Goodman,,[7]
31,1999,The Messenger: The Story of Joan of Arc,The Conscience,,[7]
32,2002,Moonlight Mile,Ben Floss,,[7]
33,2003,Confidence,Winston King,,[9]
34,2003,Runaway Jury,Wendell Rohr,,[9]
35,2004,Finding Neverland,Charles Frohman,,[9]
36,2004,I Heart Huckabees,Bernard Jaffe,,[9]
37,2004,Meet the Fockers,Bernie Focker,,[9]
38,2004,Lemony Snicket's A Series of Unfortunate Events,The Critic,Uncredited cameo,[10]
39,2005,Racing Stripes,Tucker,Voice,[9]
40,2005,The Lost City,Meyer Lansky,,[9]
41,2006,Perfume: The Story of a Murderer,Giuseppe Baldini,,[9]
42,2006,Stranger than Fiction,Professor Jules Hilbert,,[9]
43,2007,Mr. Magorium's Wonder Emporium,Mr. Edward Magorium,,[9]
44,2008,Kung Fu Panda,Master Shifu,Voice,[11]
45,2008,Secrets of the Furious Five,Master Shifu,VoiceShort film,[9]
46,2008,Last Chance Harvey,Harvey Shine,,[9]
47,2008,The Tale of Despereaux,Roscuro,Voice,[9]
48,2010,Barney's Version,"Israel ""Izzy"" Panofsky",,[9]
49,2010,Jews and Baseball: An American Love Story,Narrator,VoiceDocumentary,[9]
50,2010,Little Fockers,Bernie Focker,,[9]
51,2011,Kung Fu Panda 2,Master Shifu,Voice,[12]
52,2011,Kung Fu Panda: Secrets of the Masters,Master Shifu,VoiceShort film,[13]
53,2012,Quartet,Himself,Directorial debut,[9]
54,2014,Chef,Riva,,[9]
55,2014,Boychoir,Carvelle,,[9]
56,2014,The Cobbler,Abraham Simkin,,[9]
57,2015,The Program,Bob Hamman,,[9]
58,2016,Kung Fu Panda: Secrets of the Scroll,Master Shifu & Warrior,VoiceShort film,[9]
59,2016,Kung Fu Panda 3,Master Shifu,Voice,[9]
60,2017,The Meyerowitz Stories,Harold Meyerowitz,,[14]
61,2019,Into the Labyrinth,Doctor Green,,[15]
62,2022,As They Made Us,Eugene,,[16]
63,TBA,Sam & Kate,Bill,,[17]
