,Year,Title,Role,Director,Notes
0,1982,48 Hrs.,Reggie Hammond,Walter Hill,
1,1983,Trading Places,Billy Ray Valentine,John Landis,
2,1984,Best Defense,Lieutenant T.M. Landry,Willard Huyck,
3,1984,Beverly Hills Cop,Detective Axel Foley,Martin Brest,
4,1986,The Golden Child,Chandler Jarrell,Michael Ritchie,
5,1987,Beverly Hills Cop II,Detective Axel Foley,Tony Scott,Also writer (story)
6,1987,Eddie Murphy: Raw,Himself,Robert Townsend,Stand-up film
7,1988,Coming to America,Prince Akeem Joffer / Clarence / Randy Watson / Saul,John Landis,Also writer (story)
8,1989,Harlem Nights,"Vernest ""Quick"" Brown",Himself,Also writer
9,1990,Another 48 Hrs.,Reggie Hammond,Walter Hill,Also writer (story as Fred Braughton)
10,1992,Boomerang,Marcus Graham,Reginald Hudlin,Also writer (story)
11,1992,The Distinguished Gentleman,Thomas Jefferson Johnson,Jonathan Lynn,
12,1994,Beverly Hills Cop III,Detective Axel Foley,John Landis,
13,1995,Vampire in Brooklyn,Maximillian / Preacher Pauly / Guido,Wes Craven,Also writer (story) and producer
14,1996,The Nutty Professor,"Professor Sherman Klump / Buddy Love /Lance Perkins / Cletus 'Papa' Klump /Anna Pearl 'Mama' Jensen Klump /Ida Mae 'Granny' Jensen / Ernie Klump, Sr.",Tom Shadyac,
15,1997,Metro,Insp. Scott Roper,Thomas Carter,
16,1998,Mulan,Mushu,Barry CookTony Bancroft,Voice role Murphy's first animated film role
17,1998,Dr. Dolittle,Dr. John Dolittle,Betty Thomas,
18,1998,Holy Man,G,Stephen Herek,
19,1999,Life,"Rayford ""Ray"" Gibson",Ted Demme,Also writer (story) and producer
20,1999,Bowfinger,"Kit Ramsey / Jiffrenson ""Jiff"" Ramsey",Frank Oz,
21,2000,Nutty Professor II: The Klumps,"Professor Sherman Klump / Buddy Love /Lance Perkins / Cletus 'Papa' Klump /Anna Pearl 'Mama' Jensen Klump /Ida Mae 'Granny' Jensen / Ernie Klump, Sr. / Young Cletus 'Papa' Klump",Peter Segal,Also executive producer
22,2001,Shrek,Donkey,Andrew AdamsonVicky Jenson,Voice role
23,2001,Dr. Dolittle 2,Dr. John Dolittle,Steve Carr,
24,2002,Showtime,Officer Trey Sellers,Tom Dey,
25,2002,The Adventures of Pluto Nash,Pluto Nash / Rex Crater,Ron Underwood,
26,2002,I Spy,Kelly Robinson,Betty Thomas,
27,2003,Daddy Day Care,"Charles ""Charlie"" Hinton",Steve Carr,
28,2003,The Haunted Mansion,Jim Evers,Rob Minkoff,
29,2004,Shrek 2,Donkey,Andrew AdamsonKelly AsburyConrad Vernon,Voice role
30,2006,Dreamgirls,"James ""Thunder"" Early",Bill Condon,
31,2007,Norbit,Norbit / Rasputia / Mr. Wong,Brian Robbins,Also writer and producer
32,2007,Shrek the Third,Donkey,Chris MillerRaman Hui,Voice role
33,2008,Meet Dave,Dave / Captain,Brian Robbins,
34,2009,Imagine That,Evan Danielson,Karey Kirkpatrick,
35,2010,Shrek Forever After,Donkey,Mike Mitchell,Voice role
36,2011,Tower Heist,"Darnell (""Slide"") Davis",Brett Ratner,
37,2012,A Thousand Words,Jack McCall,Brian Robbins,
38,2016,Mr. Church,Henry Joseph Church,Bruce Beresford,
39,2019,Dolemite Is My Name,Rudy Ray Moore,Craig Brewer,Also producer
40,2021,Coming 2 America,Prince Akeem Joffer / Clarence / Randy Watson / Saul,Craig Brewer,Also writer (story)
41,TBA,You People,TBA,Kenya Barris,
