,".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteEddie Murphy",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteEddie Murphy.1"
0,Filmography Discography,Filmography Discography
1,Stand-up comedy films,Delirious (1983) Raw (1987)
2,Comedy albums,Eddie Murphy (1982) Comedian (1983)
3,Music albums,How Could It Be (1985) So Happy (1989) Love's Alright (1993)
4,Compilation albums,Greatest Comedy Hits (1997) All I Fuckin' Know (1998)
5,Songs,"""Party All the Time"" ""Whatzupwitu"" ""Patience"""
6,Films directed only,"Harlem Nights (1989, also writer)"
7,Films produced,"Vampire in Brooklyn (1995, also writer) Life (1999) Norbit (2007, also writer) Dolemite Is My Name (2019)"
8,Films written,Beverly Hills Cop II (1987) Raw (1987) Coming to America (1988) Another 48 Hrs. (1990) Bommerang (1992) Coming 2 America (2021)
9,Related,Beverly Hills Cop Axel Foley Charlie Murphy (brother) Sherman Klump Donkey (Shrek)
