,Year,Title,Role,Notes
0,1998,Surrender Dorothy,Vicki,Credited as Elizabeth Casey
1,1999,Uninvited,Lady Reporter,Credited as Elizabeth Maresal Mitchell
2,2000,Shaft,Trey's Friend,Credited as Elizabeth Maresal Mitchell
3,2001,Wet Hot American Summer,Lindsay,
4,2001,Ordinary Sinner,Rachel,
5,2002,Spider-Man,Betty Brant,
6,2002,Swept Away,Debi,
7,2002,Catch Me If You Can,Lucy Forrest,
8,2003,The Trade,Sioux Sever,
9,2003,Seabiscuit,Marcela Howard,
10,2004,Spider-Man 2,Betty Brant,
11,2005,Heights,Isabel Lee,
12,2005,Sexual Life,Sarah,
13,2005,The Sisters,Nancy Pecket,
14,2005,The Baxter,Caroline Swann,
15,2005,The 40-Year-Old Virgin,Beth,
16,2005,Daltry Calhoun,May,
17,2006,Slither,Starla Grant,
18,2006,Invincible,Janet Cantrell,
19,2007,Spider-Man 3,Betty Brant,
20,2007,Meet Bill,Jess,
21,2007,Fred Claus,Charlene,
22,2008,"Definitely, Maybe",Emily Jones,
23,2008,Meet Dave,Gina Morrison,
24,2008,"Lovely, Still",Alex,
25,2008,W.,Laura Bush,
26,2008,Zack and Miri Make a Porno,"Miriam ""Miri"" Linky",
27,2008,Role Models,Beth Jones,
28,2009,Big Breaks,Starlet,Short film
29,2009,The Uninvited,Rachel Summers,
30,2010,The Next Three Days,Lara Brennan,
31,2011,The Details,Nealy Lang,
32,2011,Just a Little Heart Attack,Woman,Short filmAlso director
33,2011,Our Idiot Brother,Miranda Rochlin,
34,2012,Man on a Ledge,Lydia Mercer,
35,2012,The Hunger Games,Effie Trinket,
36,2012,What to Expect When You're Expecting,Wendy Cooper,
37,2012,People Like Us,Frankie Davis,
38,2012,Pitch Perfect,Gail Abernathy-McKadden,
39,2013,Movie 43,Amy,"Segment: ""Beezel""Also director"
40,2013,The Hunger Games: Catching Fire,Effie Trinket,
41,2013,Face in the Crowd,Face,Short film
42,2014,Little Accidents,Diane Doyle,
43,2014,The Lego Movie,Lucy / Wyldstyle (voice),
44,2014,Walk of Shame,Meghan Miles,
45,2014,Every Secret Thing,Detective Nancy Porter,
46,2014,Love & Mercy,Melinda Ledbetter,
47,2014,The Hunger Games: Mockingjay – Part 1,Effie Trinket,
48,2015,Pitch Perfect 2,Gail Abernathy-McKadden-Feinberger,Also director
49,2015,Magic Mike XXL,Paris,
50,2015,The Hunger Games: Mockingjay – Part 2,Effie Trinket,
51,2015,Uber for Jen,Jen,Short film
52,2017,Asteroids!,Cheez (voice),Short film
53,2017,Power Rangers,Rita Repulsa,
54,2017,Pitch Perfect 3,Gail Abernathy-McKadden-Feinberger,
55,2018,The Happytime Murders,Jenny Peterson,
56,2019,The Lego Movie 2: The Second Part,Lucy / Wyldstyle (voice),
57,2019,Brightburn,Tori Breyer,
58,2019,Charlie's Angels,Rebekah Bosley,Also director and screenwriter
59,2019,Ru's Angels,Rebekah Bosley,Short film[1]
60,2022,Call Jane,Joy,
61,TBA,The Beanie Bubble,,Filming
