,Year,Title,Role,Notes
0,2001,Harry Potter and the Philosopher's Stone,Hermione Granger,
1,2002,Harry Potter and the Chamber of Secrets,Hermione Granger,
2,2004,Harry Potter and the Prisoner of Azkaban,Hermione Granger,
3,2005,Harry Potter and the Goblet of Fire,Hermione Granger,
4,2007,Harry Potter and the Order of the Phoenix,Hermione Granger,
5,2008,The Tale of Despereaux,Princess Pea,Voice
6,2009,Harry Potter and the Half-Blood Prince,Hermione Granger,
7,2010,Harry Potter and the Deathly Hallows – Part 1,Hermione Granger,
8,2011,Harry Potter and the Deathly Hallows – Part 2,Hermione Granger,
9,2011,My Week with Marilyn,Lucy,
10,2012,The Perks of Being a Wallflower,"Samantha ""Sam"" Button",
11,2013,The Bling Ring,Nicki Moore,
12,2013,This Is the End,Herself,
13,2014,Noah,Ila,
14,2015,Colonia,Lena,
15,2015,Regression,Angela Gray,
16,2017,Beauty and the Beast,Belle,
17,2017,The Circle,Mae Holland,
18,2019,Little Women,"Margaret ""Meg"" March",
