,Year,Title,Role,Notes,Ref.
0,1982,Remembrance,Daniel,,
1,1986,Sid and Nancy,Sid Vicious,,
2,1987,Prick Up Your Ears,Joe Orton,,
3,1988,Track 29,Martin,,
4,1988,We Think the World of You,Johnny,,
5,1989,Criminal Law,Ben Chase,,
6,1989,Chattahoochee,Emmett Foley,,
7,1990,Rosencrantz & Guildenstern Are Dead,Rosencrantz,,
8,1990,State of Grace,Jackie Flannery,,
9,1990,Henry & June,Pop,Credited as Maurice Escargot,
10,1991,JFK,Lee Harvey Oswald,,
11,1992,Bram Stoker's Dracula,Count Dracula,,
12,1993,True Romance,Drexl Spivey,,
13,1993,Romeo Is Bleeding,Jack Grimaldi,,
14,1994,Léon: The Professional,Norman Stansfield,,
15,1994,Immortal Beloved,Ludwig van Beethoven,,
16,1995,Murder in the First,Milton Glenn,,
17,1995,The Scarlet Letter,Rev. Arthur Dimmesdale,,
18,1996,Basquiat,Albert Milo,,
19,1997,The Fifth Element,Jean-Baptiste Emanuel Zorg,,
20,1997,Air Force One,Egor Korshunov,,
21,1997,Nil by Mouth,—,"Director, writer, and producer only",
22,1998,Lost in Space,Dr. Zachary Smith,,
23,1998,Quest for Camelot,Lord Ruber (voice),,
24,1999,Plunkett & Macleane,—,Executive producer only,
25,2000,The Contender,Rep. Sheldon Runyon,Also executive producer,
26,2001,Nobody's Baby,Buford Hill,Also producer,
27,2001,Hannibal,Mason Verger,,
28,2002,Interstate 60,O. W. Grant,,
29,2002,The Hire: Beat the Devil,The Devil,Short film,
30,2003,Tiptoes,Rolfe,,
31,2003,Sin,Charlie Storm,,
32,2004,Who's Kyle?,Scouse,Short film,
33,2004,Harry Potter and the Prisoner of Azkaban,Sirius Black,,
34,2005,Batman Begins,James Gordon,,
35,2005,Harry Potter and the Goblet of Fire,Sirius Black,Cameo,
36,2006,The Backwoods,Paul,,
37,2007,Harry Potter and the Order of the Phoenix,Sirius Black,,
38,2008,Dead Fish,Lynch,,
39,2008,The Dark Knight,James Gordon,,
40,2009,The Unborn,Rabbi Joseph Sendak,,
41,2009,Rain Fall,William Holtzer,,
42,2009,A Christmas Carol,Tiny Tim / Bob Cratchit / Jacob Marley,Also motion capture,
43,2009,Planet 51,General Grawl (voice),,
44,2010,The Book of Eli,Carnegie,,
45,2010,Countdown to Zero,Narrator,,
46,2010,One Night in Turin,Narrator,Documentary,
47,2011,Red Riding Hood,Father Solomon,,
48,2011,Kung Fu Panda 2,Lord Shen (voice),,
49,2011,Harry Potter and the Deathly Hallows – Part 2,Sirius Black,Cameo,[3]
50,2011,Tinker Tailor Soldier Spy,George Smiley,,
51,2011,"Guns, Girls and Gambling",Elvis,,
52,2012,The Dark Knight Rises,James Gordon,,
53,2012,Lawless,Floyd Banner,,
54,2013,Paranoia,Nicolas Wyatt,,
55,2014,RoboCop,Dr. Dennett Norton,,
56,2014,Dawn of the Planet of the Apes,Dreyfus,,
57,2015,Child 44,Timur Nestorov,,
58,2016,Man Down,Captain Peyton,,
59,2016,Criminal,Quaker Wells,,
60,2017,The Space Between Us,Nathaniel Shepherd,,
61,2017,The Hitman's Bodyguard,Vladislav Dukhovich,,
62,2017,Darkest Hour,Winston Churchill,,
63,2018,Tau,Tau (voice),,
64,2018,Hunter Killer,Admiral Charles Donnegan,,
65,2019,Killers Anonymous,The Man,,
66,2019,Mary,David,,
67,2019,The Laundromat,Jürgen Mossack,,
68,2019,The Courier,Ezekiel Mannings,,
69,2020,Mank,Herman J. Mankiewicz,,
70,2021,Crisis,Dr. Tyrone Brower,,
71,2021,The Woman in the Window,Alistair Russell,,
72,2021,Hitman's Wife's Bodyguard,Vladislav Dukhovich,,
73,2023,Oppenheimer,TBA,Post-production,
