,Year,Title,Role,Notes,Ref(s)
0,1995,The World of Jacques Demy,Himself,,[15]
1,1996,The Immortal Beaver,Himself,,[16]
2,2004,Empire of Dreams: The Story of the Star Wars Trilogy,Himself,,
3,2007,Dalai Lama Renaissance,Narrator,,[17]
4,2013,Drew: The Man Behind the Poster,Himself,,
5,2013,Milius,Himself,,[18]
6,2014,Flying the Feathered Edge: The Bob Hoover Project,Himself,,[19]
7,2015,Living in the Age of Airplanes,Narrator,,[20][21]
8,2017,Toxic Puzzle - Hunt for the Hidden Killer,Narrator,,[22]
9,2017,Spielberg,Himself,,
10,2017,Joan Didion: The Center Will Not Hold,Himself,,
11,2019,Armstrong,Narrator (Words of Neil Armstrong),,[23][24]
