,Year,Title,Role,Notes,Ref(s)
0,1966,Dead Heat on a Merry-Go-Round,Bellhop,Uncredited,
1,1967,Luv,Irate Motorist,Uncredited,
2,1967,A Time for Killing,Lt. Shaffer,Credited as Harrison J. Ford,
3,1968,Journey to Shiloh,Willie Bill Bearden,,
4,1970,Getting Straight,Jake,,
5,1970,Zabriskie Point,Arrested teenager,,
6,1973,American Graffiti,Bob Falfa,,[1]
7,1974,The Conversation,Martin Stett,,[1]
8,1977,Star Wars: A New Hope,Han Solo,,[1]
9,1977,Heroes,Ken Boyd,,
10,1978,Force 10 from Navarone,Lt. Colonel Mike Barnsby,,
11,1979,Hanover Street,David Halloran,,
12,1979,Apocalypse Now,Colonel Lucas,,[1]
13,1979,The Frisco Kid,Tommy Lillard,,
14,1979,More American Graffiti,Bob Falfa,Uncredited,
15,1980,The Empire Strikes Back,Han Solo,,[1]
16,1981,Raiders of the Lost Ark,"Dr. Henry ""Indiana"" Jones Jr.",,[2]
17,1982,E.T. the Extra-Terrestrial,Elliott's Principal,Deleted scene,[3]
18,1982,Blade Runner,Rick Deckard,,[2]
19,1983,Return of the Jedi,Han Solo,,[2]
20,1984,Indiana Jones and the Temple of Doom,"Dr. Henry ""Indiana"" Jones Jr.",,
21,1985,Witness,Det. Capt. John Book,,[1][4]
22,1986,The Mosquito Coast,Allie Fox,,
23,1988,Frantic,Dr. Richard Walker,,
24,1988,Working Girl,Jack Trainer,,[1]
25,1989,Indiana Jones and the Last Crusade,"Dr. Henry ""Indiana"" Jones Jr.",,[1]
26,1990,Presumed Innocent,Rusty Sabich,,
27,1991,Regarding Henry,Henry Turner,,
28,1992,Patriot Games,Jack Ryan,,[1]
29,1993,The Fugitive,Dr. Richard David Kimble,,[1]
30,1994,Jimmy Hollywood,Himself,Uncredited cameo,
31,1994,Clear and Present Danger,Jack Ryan,,[1]
32,1995,One Hundred and One Nights,Himself,,[5]
33,1995,Sabrina,Linus Larabee,,
34,1997,The Devil's Own,Tom O'Meara,,
35,1997,Air Force One,President James Marshall,,[1][6]
36,1998,"Six Days, Seven Nights",Quinn Harris,,
37,1999,Random Hearts,Dutch Van Den Broeck,,
38,2000,What Lies Beneath,Dr. Norman Spencer,,
39,2002,K-19: The Widowmaker,Alexei Vostrikov,Also executive producer,
40,2003,Hollywood Homicide,Sgt. Joe Gavilan,,
41,2006,Firewall,Jack Stanfield,,
42,2008,Indiana Jones and the Kingdom of the Crystal Skull,"Dr. Henry ""Indiana"" Jones Jr.",,
43,2009,Crossing Over,Max Brogan,,
44,2010,Extraordinary Measures,Dr. Robert Stonehill,Also executive producer,
45,2010,Morning Glory,Mike Pomeroy,,
46,2011,Cowboys & Aliens,Colonel Dolarhyde,,
47,2013,42,Branch Rickey,,[1]
48,2013,Paranoia,Jock Goddard,,
49,2013,Ender's Game,Colonel Hyrum Graff,,
50,2013,Anchorman 2: The Legend Continues,Mack Tannen,,
51,2014,The Expendables 3,Max Drummer,,[7]
52,2015,The Age of Adaline,William Jones,,[8]
53,2015,Star Wars: The Force Awakens,Han Solo,,[9]
54,2017,Blade Runner 2049,Rick Deckard,,[10]
55,2019,The Secret Life of Pets 2,Rooster,Voice,[11]
56,2019,Star Wars: The Rise of Skywalker,Han Solo,Uncredited cameo,[12]
57,2020,The Call of the Wild,John Thornton,,[13]
58,2023,Untitled fifth Indiana Jones film,"Dr. Henry ""Indiana"" Jones Jr.",Post-production,[14]
