,Year,Title,Role,Director,Notes
0,1969,Alfred the Great,Roger,Clive Donner,
1,1969,A Touch of Love,George Matthews,Waris Hussein,
2,1969,The Promise,Leonidik,Michael Hayes,
3,1981,Priest of Love,D. H. Lawrence,Christopher Miles,
4,1983,The Keep,Dr. Theodore Cuza,Michael Mann,
5,1985,Plenty,Sir Andrew Charleson,Fred Schepisi,
6,1985,Zina,Arthur Kronfeld,Ken McMullen,
7,1989,Scandal,John Profumo,Michael Caton-Jones,
8,1993,Six Degrees of Separation,Geoffrey Miller,Fred Schepisi,
9,1993,The Ballad of Little Jo,Percy Corcoran,Maggie Greenwald,
10,1993,Last Action Hero,Death,John McTiernan,
11,1994,To Die For,Quilt Documentary Narrator,Peter Litten,Voice
12,1994,The Shadow,Dr. Reinhardt Lane,Russell Mulcahy,
13,1994,I'll Do Anything,John Earl McAlpine,James L. Brooks,
14,1995,Restoration,Will Gates,Michael Hoffman,
15,1995,Richard III,Richard III,Richard Loncraine,Also writer and executive producer
16,1995,Jack and Sarah,William,Tim Sullivan,
17,1997,Swept from the Sea,Dr. James Kennedy,Beeban Kidron,
18,1997,Bent,Uncle Freddie,Sean Mathias,
19,1998,Gods and Monsters,James Whale,Bill Condon,
20,1998,Apt Pupil,Kurt Dussander,Bryan Singer,
21,2000,X-Men,Erik Lehnsherr / Magneto,Bryan Singer,
22,2001,The Lord of the Rings: The Fellowship of the Ring,Gandalf the Grey,Peter Jackson,
23,2002,The Lord of the Rings: The Two Towers,Gandalf the White,Peter Jackson,
24,2003,X2,Erik Lehnsherr / Magneto,Bryan Singer,
25,2003,Emile,Emile,Carl Bessai,
26,2003,The Lord of the Rings: The Return of the King,Gandalf the White,Peter Jackson,
27,2004,Eighteen,Older Jason Anders,Richard Bell,Voice
28,2005,Neverwas,Gabriel Finch,Joshua Michael Stern,
29,2005,Asylum,Dr. Peter Cleave,David Mackenzie,
30,2005,The Magic Roundabout,Zebedee,Dave BorthwickJean DuvalFrank Passingham,Voice
31,2006,Flushed Away,The Toad,David BowersSam Fell,Voice
32,2006,The Da Vinci Code,Sir Leigh Teabing,Ron Howard,
33,2006,X-Men: The Last Stand,Erik Lehnsherr / Magneto,Brett Ratner,
34,2007,Stardust,Narrator,Matthew Vaughn,Voice
35,2007,The Golden Compass,Iorek Byrnison,Chris Weitz,Voice
36,2012,The Hobbit: An Unexpected Journey,Gandalf the Grey,Peter Jackson,
37,2013,The Wolverine,Erik Lehnsherr / Magneto,James Mangold,Uncredited cameo
38,2013,The Hobbit: The Desolation of Smaug,Gandalf the Grey,Peter Jackson,
39,2014,Miss in Her Teens,The Prologue,Matthew Butler Hart,
40,2014,X-Men: Days of Future Past,Erik Lehnsherr / Magneto,Bryan Singer,Shared role with Michael Fassbender
41,2014,The Hobbit: The Battle of the Five Armies,Gandalf the Grey,Peter Jackson,
42,2015,Mr. Holmes,Sherlock Holmes,Bill Condon,
43,2017,Beauty and the Beast,Cogsworth,Bill Condon,
44,2017,Animal Crackers,Horatio P. Huntington,Scott Christian SavaTony Bancroft,Voice
45,2018,All Is True,Earl of Southampton,Kenneth Branagh,
46,2019,The Good Liar,Roy Courtnay,Bill Condon,
47,2019,Cats,Gus the Theatre Cat,Tom Hooper,
48,2021,Infinitum: Subject Unknown,Dr. Charles Marland-White,Matthew Butler-Hart,
49,TBA,The Critic,Jimmy Erskine,Anand Tucker,Filming
50,Sources:[2][3][4][5],Sources:[2][3][4][5],Sources:[2][3][4][5],Sources:[2][3][4][5],Sources:[2][3][4][5]
