,Year,Title,Role,Venue
0,1964,A Scent of Flowers,Godrey,Duke of York's Theatre
1,1965,Much Ado About Nothing,Claudio,National TheatreThe Old Vic
2,1965,Armstrong's Last Goodnight,Protestant Evangelist,National TheatreChichester Festival Theatre
3,1965,Trelawny of the 'Wells',Capt. de Foenix,National TheatreChichester Festival Theatre
4,1966,The Man of Destiny O'Flaherty V.C.,Corporal Napoleon Private O'Flaherty,Mermaid Theatre
5,1966,A Lily in Little India,Alvin Hanker,Hampstead Theatre
6,1966,Their Very Own and Golden City,Andrew Cobham,Mermaid Theatre
7,1967,The Promise,Leonidik,Fortune TheatreHenry Miller's Theatre
8,1968,The White Liars / Black Comedy,Tom / Harold Gorringe,Lyric Theatre
9,1968–70,Richard II,Richard II,UK tour
10,1969,The Bacchae,Pentheus,Liverpool Playhouse
11,1969,The Prime of Miss Jean Brodie,—,DirectorLiverpool Playhouse
12,1969,Three Months Gone,—,DirectorLiverpool Playhouse
13,1969–70,Edward II,Edward II,UK and European tours
14,1970,Billy's Last Stand,Darkly,Royal Court Theatre
15,1970,The Recruiting Officer,Captain Plume,UK tour
16,1970,Chips with Everything,Corporal Hill,UK tour
17,1971,Hamlet,Prince Hamlet,UK and European tours
18,1971,The Swan Song,Svetlovidov,Crucible Theatre
19,1972,The Real Inspector Hound,—,DirectorPhoenix Theatre
20,1972,The Erpingham Camp,—,DirectorWatford Palace Theatre
21,1972,Ruling the Roost Tis Pity She's a Whore The Three Arrows,Page-boy Giovanni Prince Yoremitsu,UK tour
22,1973,A Private Matter,—,DirectorVaudeville Theatre
23,1973–74,The Way of the World The Wood Demon King Lear,Lady Wishfort's Footman Kruschov Edgar,UK tourBrooklyn Academy of Music
24,1974,Tis Pity She's a Whore,Giovanni,Wimbledon Theatre
25,1974,Dr Faustus,Dr. Faustus,Edinburgh FestivalAldwych Theatre
26,1974,The Marquis of Keith,The Marquis of Keith,Aldwych Theatre
27,1975,King John,King John,Aldwych Theatre
28,1975,The Clandestine Marriage,—,DirectorSavoy Theatre
29,1975,Ashes,Colin,The Young Vic
30,1975,Too True to Be Good,"Aubrey ""Popsy"" Bagot",Aldwych Theatre
31,1976–77,Romeo and Juliet,Romeo,"Royal Shakespeare TheatreAldwych TheatreTheatre Royal, Newcastle"
32,1976,The Winter's Tale,King Leontes,Royal Shakespeare Theatre
33,1976–78,Macbeth,Macbeth,Royal Shakespeare TheatreThe Young VicWarehouse
34,1977–78,The Alchemist,Face,Royal Shakespeare TheatreAldwych Theatre
35,1977,Every Good Boy Deserves Favour,Alexander,Barbican Arts Centre
36,1977,Pillars of the Community,Karsten Bernick,Aldwych Theatre
37,1977,The Days of the Commune,Langevin,Aldwych Theatre
38,1978,A Miserable and Lonely Death,Kentridge,Aldwych Theatre
39,1978–79,Twelfth Night / Three Sisters,Sir Toby Belch / Andrei,Also producerUK tour
40,1979,Bent,Max,Royal Court TheatreCriterion Theatre
41,1980–90,Acting Shakespeare,Himself,World tours
42,1980–81,Amadeus,Salieri,Broadhurst Theatre
43,1982,Every Good Boy Deserves Favour,Alexander,Barbican Arts Centre
44,1983,Short List,Terry,Hampstead Theatre
45,1983,Cowardice,Boy,Ambassadors Theatre
46,1984,Venice Preserv'd,Pierre,Royal National Theatre
47,1984,Wild Honey,Michael Platonov,Royal National Theatre
48,1984,Coriolanus,Gaius Marcius Coriolanus,Royal National Theatre
49,1985,The Duchess of Malfi,Bosola,Royal National Theatre
50,1985,The Real Inspector Hound / The Critic,Inspector Hound / Mr. Puff,Royal National Theatre
51,1985,The Cherry Orchard,Yermolai Lopakhin,Royal National Theatre
52,1986–87,Wild Honey,Michael Platonov,August Wilson Theatre
53,1988–89,Henceforward...,Jerome,Vaudeville Theatre
54,1989,Othello,Iago,Royal Shakespeare TheatreThe Young Vic
55,1990–92,Richard III,Richard III,World tour
56,1992,Uncle Vanya,Uncle Vanya,Royal National Theatre
57,1993–97,A Knight Out,Himself,UK & US tours
58,1997-98,An Enemy of the People,Dr. Tomas Stockmann,Royal National TheatreAhmanson Theatre
59,1997,Peter Pan,Mr. Darling/Captain Hook,Royal National Theatre
60,1998,Present Laughter,Garry Essendine,West Yorkshire Playhouse
61,2001–2004,Dance of Death,Edgar,Broadhurst TheatreLyric TheatreSydney Arts Festival
62,"2004, 05",Aladdin,Widow Twankie,The Old Vic
63,2006,The Cut,Max,Donmar Warehouse
64,2007–08,King Lear,Lear,Stratford-upon-AvonBrooklyn Academy of MusicNew London Theatre
65,2007–08,The Seagull,Sorin,Stratford-upon-AvonBrooklyn Academy of MusicNew London Theatre
66,2009–10,Waiting for Godot,Estragon,"Theatre Royal Haymarket Comedy Theatre, MelbourneFugard Theatre, Cape Town"
67,2011,The Syndicate,Don Antonio,Chichester Festival Theatre
68,2013–14,Waiting for Godot / No Man's Land,Estragon / Spooner,Cort Theatre
69,2016,No Man's Land,Spooner,Wyndham's Theatre
70,2016–19,The Exorcist,Demon (voice),Birmingham Repertory Theatre Phoenix Theatre London UK tour
71,2017,"Shakespeare, Tolkien, Others and You",Himself,Park Theatre
72,2017–18,King Lear,Lear,Chichester Festival TheatreDuke of York's Theatre
73,2019-20,Ian McKellen on Stage,Himself,UK tour Harold Pinter Theatre[1]Hudson Theatre
74,2021,Hamlet,Prince Hamlet,"Theatre Royal, Windsor"
75,2021,The Cherry Orchard,Firs,"Theatre Royal, Windsor"
