,Year,Title,Role,Notes
0,1999,Belle maman,Grégoire,
1,2000,Sorted,Jam,
2,2001,Buffalo Soldiers,Kimborough,
3,2003,One Love,Aaron,
4,2005,The Gospel,Charles Frank,
5,2005,Sometimes in April,Augustin,
6,2007,Daddy's Little Girls,Monty James,
7,2007,The Reaping,Ben,
8,2007,28 Weeks Later,General Stone,
9,2007,American Gangster,Tango,
10,2007,This Christmas,Quentin Whitfield,
11,2008,Prom Night,Detective Winn,
12,2008,RocknRolla,Mumbles,
13,2008,The Human Contract,Larry,
14,2009,The Unborn,Arthur Wyndham,
15,2009,Obsessed,Derek Charles,
16,2010,Legacy,Malcolm Gray,Also executive producer
17,2010,The Losers,Roque,
18,2010,Takers,Gordon Cozier,
19,2011,Thor,Heimdall,
20,2011,Ghost Rider: Spirit of Vengeance,Moreau,
21,2012,Prometheus,Captain Janek,
22,2013,Pacific Rim,Stacker Pentecost,
23,2013,Thor: The Dark World,Heimdall,
24,2013,Mandela: Long Walk to Freedom,Nelson Mandela,
25,2014,No Good Deed,Colin Evans,Also executive producer
26,2014,Second Coming,Mark,
27,2015,The Gunman,DuPont,
28,2015,Avengers: Age of Ultron,Heimdall,
29,2015,Beasts of No Nation,Commandant,
30,2016,Zootopia,Chief Bogo (voice),
31,2016,The Jungle Book,Shere Khan (voice),
32,2016,Bastille Day,Sean Briar,
33,2016,Finding Dory,Fluke (voice),
34,2016,100 Streets,Max,
35,2016,Star Trek Beyond,Krall / Balthazar Edison,
36,2017,The Dark Tower,Roland Deschain,
37,2017,Molly's Game,Charlie Jaffey,
38,2017,The Mountain Between Us,Ben Bass,
39,2017,Thor: Ragnarok,Heimdall,
40,2018,Avengers: Infinity War,Heimdall,Cameo
41,2018,Yardie,—,Director
42,2019,Fast & Furious: Hobbs & Shaw,Brixton Lore,
43,2019,Cats,Macavity,
44,2020,Concrete Cowboy,Harp,
45,2021,The Suicide Squad,Robert DuBois / Bloodsport,
46,2021,The Harder They Fall,Rufus Buck,
47,2022,Sonic the Hedgehog 2,Knuckles the Echidna (voice),
48,2022,Three Thousand Years of Longing,Djinn,
49,2022,Beast,Dr. Nate Samuels,Post-production[1]
50,2022,Luther,DCI John Luther,Post-production
