,Year,Title,Role,Notes
0,1995,National Lampoon's Senior Trip,"Mark ""Dags"" D'Agastino",
1,1996,Paper Dragons,Jack,
2,2001,Fish in a Barrel,Remy,
3,2002,Dahmer,Jeffrey Dahmer,
4,2002,Monkey Love,Dil,
5,2003,S.W.A.T.,Brian Gamble,
6,2004,The Heart Is Deceitful Above All Things,Emerson,
7,2005,A Little Trip to Heaven,Fred,
8,2005,North Country,Bobby Sharp,
9,2005,12 and Holding,Gus Maitland,
10,2005,Neo Ned,Ned,
11,2005,Lords of Dogtown,Jay Adams Manager,Uncredited[citation needed]
12,2006,Love Comes to the Executioner,Chick Prigusivac,
13,2007,The Assassination of Jesse James by the Coward Robert Ford,Wood Hite,
14,2007,28 Weeks Later,Sergeant Doyle,
15,2007,Take,Saul,
16,2008,The Hurt Locker,Sergeant First Class William James,
17,2009,Ingenious,Sam,aka Lightbulb
18,2010,The Town,"James ""Jem"" Coughlin",
19,2011,Mission: Impossible – Ghost Protocol,William Brandt,
20,2011,Thor,Clint Barton / Hawkeye,Uncredited cameo[70]
21,2012,The Avengers,Clint Barton / Hawkeye,
22,2012,The Bourne Legacy,Aaron Cross / Kenneth J. Kitsom,
23,2013,Hansel & Gretel: Witch Hunters,Hansel,
24,2013,The Immigrant,Orlando the Magician,
25,2013,American Hustle,Carmine Polito,
26,2014,Kill the Messenger,Gary Webb,Also producer
27,2015,Mission: Impossible – Rogue Nation,William Brandt,
28,2015,Avengers: Age of Ultron,Clint Barton / Hawkeye,
29,2016,Captain America: Civil War,Clint Barton / Hawkeye,
30,2016,Arrival,Ian Donnelly,
31,2017,Wind River,Cory Lambert,
32,2017,The House,Tommy Papouli,Cameo
33,2018,Tag,Jerry Pierce,
34,2019,Arctic Dogs,Swifty,Voice role
35,2019,Avengers: Endgame,Clint Barton / Hawkeye,
36,2021,Black Widow,Clint Barton / Hawkeye,Voice; Uncredited cameo
37,2021,Back Home Again,Lieutenant Timber,Voice role
