,Year,Title,Role,Notes,Ref(s)
0,1994,Masters of Illusion: The Wizards of Special Effects,Himself,,
1,1995,A Comedy Salute to Andy Kaufman,Himself,,
2,1995,Jim Carrey Spotlight,Himself,,
3,1998,Junket Whore,Himself,,
4,1998,In My Life,Himself,,
5,1999,Pesel Ha'Zahav,Himself,,
6,1999,AFI's 100 Years...100 Stars: America's Greatest Screen Legends,Himself,,
7,2000,Jim Carrey Uncensored,Himself,,
8,2001,America: A Tribute to Heroes,Himself,,
9,2001,The Concert for New York City,Himself,,
10,2009,Under the Sea 3D,Narrator,,
11,2011,Conan O'Brien Can't Stop,Narrator,,
12,2011,The Love We Make,Narrator,,
13,2015,Rubble Kings,—,Producer,
14,2017,Jim & Andy: The Great Beyond,Himself,,
15,2018,The Zen Diaries of Garry Shandling,Himself,,
