,Year,Title,Role,Notes,Ref(s)
0,1983,The Sex and Violence Family Hour,Host / Various roles,Direct-to-video,
1,1983,All in Good Taste,Ralph Parker,,
2,1984,Finders Keepers,Lane Biddlecoff,,
3,1985,Once Bitten,Mark Kendall,,
4,1986,Peggy Sue Got Married,Walter Getz,,
5,1988,The Dead Pool,Johnny Squares,,
6,1988,Earth Girls Are Easy,Wiploc,,
7,1989,Pink Cadillac,Lounge Entertainer,,
8,1991,High Strung,Death,Uncredited,
9,1992,Itsy Bitsy Spider,The Exterminator,VoiceShort film,
10,1994,Ace Ventura: Pet Detective,Ace Ventura,Also co-screenwriter,
11,1994,The Mask,Stanley Ipkiss / The Mask,,
12,1994,Dumb and Dumber,Lloyd Christmas,,
13,1995,Ace Ventura: When Nature Calls,Ace Ventura,,
14,1995,Batman Forever,Edward Nygma / The Riddler,,
15,1996,The Cable Guy,"Cable Guy / Ernie ""Chip"" Douglas",,
16,1997,Liar Liar,Fletcher Reede,,[15]
17,1998,Simon Birch,Adult Joe Wenteworth / Narrator,,
18,1998,The Truman Show,Truman Burbank,,
19,1999,Man on the Moon,Andy Kaufman,,
20,2000,"Me, Myself & Irene",Charlie Baileygates / Hank Evans,,
21,2000,How the Grinch Stole Christmas,The Grinch,,
22,2001,The Majestic,Peter Appleton,,
23,2003,Bruce Almighty,Bruce Nolan / Bruce Almighty,Also producer,
24,2003,Pecan Pie,The Driver,Short film,
25,2004,Eternal Sunshine of the Spotless Mind,Joel Barish,,
26,2004,Lemony Snicket's A Series of Unfortunate Events,Count Olaf,,
27,2005,Fun with Dick and Jane,"Richard ""Dick"" Harper",Also producer,
28,2007,The Number 23,Walter Sparrow / Detective Fingerling,,
29,2008,Dr. Seuss' Horton Hears a Who!,Horton the Elephant,Voice,
30,2008,Yes Man,Carl Allen,,
31,2009,I Love You Phillip Morris,Steven Jay Russell,,
32,2009,A Christmas Carol,Ebenezer Scrooge / Ghost of Christmas Past / Ghost of Christmas Present / Ghost of Christmas Yet to Come,Motion-capture,
33,2011,Mr. Popper's Penguins,"Thomas ""Tom"" Popper Jr.",,
34,2013,The Incredible Burt Wonderstone,Steve Gray,,
35,2013,Kick-Ass 2,Sal Bertolinni / Colonel Stars and Stripes,,
36,2013,Anchorman 2: The Legend Continues,Scott Reils,Uncredited cameo,[16]
37,2014,Dumb and Dumber To,Lloyd Christmas,,
38,2016,The Bad Batch,The Hermit,,
39,2016,Dark Crimes,Tadek,,
40,2020,Sonic the Hedgehog,"Dr. Ivo ""Eggman"" Robotnik",,
41,2022,Sonic the Hedgehog 2,"Dr. Ivo ""Eggman"" Robotnik",,
