,Year,Title,Role,Notes,Ref(s)
0,1993,Stuff,,Director and writer only,[62][63]
1,1999,The Source,Jack Kerouac,,[1]
2,2002,Lost in La Mancha,Himself,Uncredited,[64]
3,2003,Breakfast with Hunter,Himself,,[65]
4,2003,Charlie: The Life and Art of Charles Chaplin,Himself,,[66]
5,2006,"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",Himself,,[67]
6,2006,Deep Sea 3D,Narrator,,[68]
7,2006,When the Road Bends… Tales of a Gypsy Caravan,Himself,,[69]
8,2007,Joe Strummer: The Future Is Unwritten,Himself,,[70]
9,2007,Runnin' Down a Dream,Himself,,[71]
10,2008,Gonzo: The Life and Work of Dr. Hunter S. Thompson,Narrator,,[72]
11,2010,When You're Strange,Narrator,,[73]
12,2012,For No Good Reason,Himself,,[74]
13,2012,Radioman,Himself,,[75][76]
14,2012,Sunset Strip,Himself,,[77]
15,2013,Don't Say No Until I Finish Talking: The Story of Richard D. Zanuck,Himself,,[78]
16,2014,Don Rickles: One Night Only,Himself,Television documentary,[79]
17,2016,Doug Stanhope: No Place Like Home,,Executive producer only,[80]
18,2018,Platoon: Brothers in Arms,Himself,,[81]
19,2020,Crock of Gold: A Few Rounds with Shane MacGowan,Himself,Also producer,[82]
