,Year,Title,Role,Notes,Ref.
0,1987,Firehouse,Babs,Uncredited; Direct-to-video release,[1][16][17]
1,1988,Satisfaction,Daryle Shane,,[18]
2,1988,Mystic Pizza,Daisy Araújo,,[19]
3,1989,Blood Red,Marisa Collogero,Filmed in 1986,[17][20]
4,1989,Steel Magnolias,Shelby Eatenton Latcherie,,[21]
5,1990,Pretty Woman,Vivian Ward,,[22]
6,1990,Flatliners,Rachel Mannus,,[23]
7,1991,Sleeping with the Enemy,Laura Williams Burney/ Sara Waters,,[24]
8,1991,Dying Young,Hilary O'Neil,,[25]
9,1991,Hook,Tinker Bell,,[26]
10,1992,The Player,Herself,Cameo,[27][28]
11,1993,The Pelican Brief,Darby Shaw,,[29]
12,1994,I Love Trouble,Sabrina Peterson,,[30]
13,1994,Prêt-à-Porter,Anne Eisenhower,,[31]
14,1995,Something to Talk About,Grace King Bichon,,[32]
15,1996,Mary Reilly,Mary Reilly,,[33]
16,1996,Michael Collins,Kitty Kiernan,,[34]
17,1996,Everyone Says I Love You,Von Sidell,,[35]
18,1997,My Best Friend's Wedding,Julianne Potter,,[36]
19,1997,Conspiracy Theory,Alice Sutton,,[37]
20,1998,Stepmom,Isabel Kelly,Also executive producer,[38]
21,1999,Notting Hill,Anna Scott,,[39]
22,1999,Runaway Bride,Maggie Carpenter,,[40]
23,2000,Erin Brockovich,Erin Brockovich,,[9]
24,2001,The Mexican,Samantha Barzel,,[41]
25,2001,America's Sweethearts,Kiki Harrison,,[42]
26,2001,Ocean's Eleven,Tess Ocean,,[43]
27,2002,Grand Champion,Jolene,,[44][45]
28,2002,Full Frontal,Francesca / Catherine,,[46]
29,2002,Confessions of a Dangerous Mind,Patricia Watson,,[47]
30,2003,Mona Lisa Smile,Katherine Ann Watson,,[48]
31,2004,Tell Them Who You Are,Herself,,[49]
32,2004,Closer,Anna Cameron,,[50]
33,2004,Ocean's Twelve,Tess Ocean,,[51]
34,2006,The Ant Bully,Hova,Voice only,[52]
35,2006,Charlotte's Web,Charlotte,Voice only,[53]
36,2007,Charlie Wilson's War,Joanne Herring,,[54]
37,2008,Fireflies in the Garden,Lisa Taylor,,[55][56]
38,2008,Kit Kittredge: An American Girl,—,Executive producer,[57]
39,2009,Duplicity,Claire Stenwick,,[58]
40,2010,Valentine's Day,Captain Kate Hazeltine,,[59]
41,2010,Eat Pray Love,Elizabeth Gilbert,,[60]
42,2011,Jesus Henry Christ,—,Executive producer,[61][62]
43,2011,"Love, Wedding, Marriage",Ava's Therapist,Voice only,[63][64]
44,2011,Larry Crowne,Mercedes Tainot,,[65]
45,2012,"Mirror, Mirror",Queen Clementianna,,[66]
46,2013,August: Osage County,Barbara Fordham,,[9][67]
47,2014,The Normal Heart,Emma Brookner,,[68]
48,2015,Secret in Their Eyes,Jess Cobb,,[69]
49,2016,Mother's Day,Miranda Collins,,[70]
50,2016,Money Monster,Patty Fenn,,[71]
51,2017,Smurfs: The Lost Village,Smurf Willow,Voice only,[72]
52,2017,Wonder,Isabel Pullman,,[73]
53,2018,Ben Is Back,Holly Burns,,[74]
54,2022,Ticket to Paradise,TBA,Post-production; also producer,[75]
55,TBA,Leave the World Behind,Amanda,Filming; also producer,[76]
