,Year,Title,Role,Notes,Ref(s)
0,1991,Critters 3,Josh,Direct-to-video,[16]
1,1992,Poison Ivy,Guy,Cameo,[17]
2,1993,This Boy's Life,"Tobias ""Toby"" Wolff",,[18]
3,1993,What's Eating Gilbert Grape,"Arnold ""Arnie"" Grape",,[19]
4,1995,The Basketball Diaries,Jim Carroll,,[20]
5,1995,The Quick and the Dead,"Fee ""The Kid"" Herod",,[21]
6,1995,Total Eclipse,Arthur Rimbaud,,[22]
7,1996,Romeo + Juliet,Romeo Montague,,[23]
8,1996,Marvin's Room,Hank,,[24]
9,1997,Titanic,Jack Dawson,,[25]
10,1998,The Man in the Iron Mask,King Louis XIV / Philippe,,[26]
11,1998,Celebrity,Brandon Darrow,,[27]
12,2000,The Beach,Richard,,[28]
13,2001,Don's Plum,Derek,,[29]
14,2002,Catch Me If You Can,"Frank Abagnale, Jr.",,[30]
15,2002,Gangs of New York,Amsterdam Vallon,,[31]
16,2004,The Aviator,Howard Hughes,,[32]
17,2006,The Departed,"William ""Billy"" Costigan",,[33]
18,2006,Blood Diamond,Danny Archer,,[34]
19,2007,The 11th Hour,Himself/Narrator,Documentary; also writer,[35]
20,2008,Body of Lies,Roger Ferris,,[36]
21,2008,Revolutionary Road,Frank Wheeler,,[37]
22,2010,Shutter Island,"Edward ""Teddy"" Daniels",,[38]
23,2010,Hubble,Narrator (voice),Documentary,[39]
24,2010,Inception,Dom Cobb,,[40]
25,2011,J. Edgar,J. Edgar Hoover,,[41]
26,2012,Django Unchained,Calvin J. Candie,,[42]
27,2013,The Great Gatsby,Jay Gatsby,,[43]
28,2013,The Wolf of Wall Street,Jordan Belfort,,[44]
29,2015,The Revenant,Hugh Glass,,[45]
30,2015,The Audition,Himself,Short film,[46]
31,2016,Before the Flood,Himself,Documentary,[47]
32,2019,Once Upon a Time in Hollywood,Rick Dalton,,[48]
33,2019,Ice on Fire,Narrator (voice),Documentary,[49]
34,2021,Don't Look Up,Dr. Randall Mindy,,[50]
35,2022,Killers of the Flower Moon,Ernest Burkhart,Post-production,[51][52]
