,Year,Title,Role,Notes
0,1978,Pilgrim's Progress,Evangelist / Jesus Christ,
1,1981,Christiana,Greatheart,
2,1981,Excalibur,Gawain,
3,1983,Krull,Kegan,
4,1984,The Bounty,Charles Churchill,
5,1985,Lamb,Michael Lamb,
6,1985,The Innocent,John Carns,
7,1986,The Delta Force,Delta Force Commando,Uncredited
8,1986,The Mission,Father John Fielding,
9,1986,Duet for One,Totter,
10,1987,Suspect,Carl Anderson,
11,1987,A Prayer for the Dying,Liam Docherty,
12,1988,Satisfaction,Martin Falcon,
13,1988,High Spirits,Martin Brogan,
14,1988,The Dead Pool,Peter Swan,
15,1988,The Good Mother,Leo Cutter,
16,1989,Next of Kin,Briar Gates,
17,1990,Darkman,Peyton Westlake / Darkman,
18,1990,The Big Man,Danny Scoulars,
19,1991,Under Suspicion,Tony Aaron,
20,1992,Shining Through,Franz-Otto Dietrich,
21,1992,Husbands and Wives,Michael Gates,
22,1992,Leap of Faith,Sheriff Will Braverman,
23,1993,Ethan Frome,Ethan Frome,
24,1993,Ruby Cairo,Dr. Fergus Lamb,
25,1993,Schindler's List,Oskar Schindler,
26,1994,Nell,Dr. Jerome 'Jerry' Lovell,
27,1995,Rob Roy,Rob Roy MacGregor,
28,1996,Before and After,Ben Ryan,
29,1996,Michael Collins,Michael Collins,
30,1998,Everest,Narrator,Voice; Documentary film
31,1998,Les Misérables,Jean Valjean,
32,1999,Star Wars: Episode I - The Phantom Menace,Qui-Gon Jinn,
33,1999,The Haunting,Dr. David Marrow,
34,2000,Gun Shy,DEA Agent Charlie Mayough,
35,2000,The Endurance,Narrator,Voice; Documentary film
36,2002,Star Wars: Episode II – Attack of the Clones,Qui-Gon Jinn (voice),Uncredited cameo
37,2002,K-19: The Widowmaker,Captain Mikhail Polenin,
38,2002,Gangs of New York,'Priest' Vallon,
39,2003,Love Actually,Daniel,
40,2003,Coral Reef Adventure,Narrator,Voice; Documentary film
41,2004,Kinsey,Alfred Kinsey,
42,2005,Kingdom of Heaven,Godfrey of Ibelin,
43,2005,Batman Begins,Henri Ducard / Ra's al Ghul,
44,2005,Breakfast on Pluto,Father Liam,
45,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Aslan (voice),
46,2006,Home,Himself,Documentary film
47,2007,Seraphim Falls,Colonel Morsman Carver,
48,2008,The Chronicles of Narnia: Prince Caspian,Aslan (voice),
49,2008,The Other Man,Peter,
50,2008,Taken,Bryan Mills,
51,2009,Five Minutes of Heaven,Alistair Little,
52,2009,Ponyo,Fujimoto,Voice
53,2009,After.Life,Eliot Deacon,
54,2009,Chloe,David Stewart,
55,2010,Clash of the Titans,Zeus,
56,2010,The A-Team,"John ""Hannibal"" Smith",
57,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,Aslan (voice),
58,2010,The Next Three Days,Damon Pennington,
59,2010,The Wildest Dream,Narrator,Voice; Documentary film
60,2011,Unknown,Dr. Martin Harris,
61,2012,The Grey,John Ottway,
62,2012,Wrath of the Titans,Zeus,
63,2012,Battleship,Admiral Terrance Shane,
64,2012,The Dark Knight Rises,Henri Ducard / Ra's al Ghul,Cameo
65,2012,Taken 2,Bryan Mills,
66,2013,Third Person,Michael Leary,
67,2013,Khumba,Phango,Voice
68,2013,Anchorman 2: The Legend Continues,History Channel Reporter,Cameo
69,2014,The Nut Job,Raccoon,Voice
70,2014,The Lego Movie,Bad Cop / Good Cop / Pa Cop,Voice
71,2014,The Prophet,Mustafa,Voice
72,2014,Non-Stop,Bill Marks,
73,2014,A Million Ways to Die in the West,Clinch Leatherwood,
74,2014,A Walk Among the Tombstones,Matthew Scudder,
75,2014,Love Thy Nature,Narrator,Voice; Documentary film
76,2014,Road,Narrator,Voice; Documentary film
77,2014,Taken 3,Bryan Mills,
78,2015,Run All Night,Jimmy 'The Gravedigger' Conlon,
79,2015,Entourage,Himself,Cameo
80,2015,Ted 2,Customer,Cameo
81,2015,A Christmas Star,Narrator / Radio DJ,Voice
82,2016,The Huntsman: Winter's War,Narrator,Voice; Uncredited
83,2016,Operation Chromite,Douglas MacArthur,
84,2016,A Monster Calls,Monster / Conor's Grandfather,Voice; also Motion captureUncredited photograph cameo
85,2016,Silence,Father Cristóvão Ferreira,
86,2017,The Nut Job 2: Nutty by Nature,Raccoon,Voice; original cut only
87,2017,Mark Felt: The Man Who Brought Down the White House,Mark Felt,
88,2017,Daddy's Home 2,Actor In Missile Tow,Voice; Cameo
89,2018,The Commuter,Michael McCauley,
90,2018,The Last Horsemen of New York,Himself,Documentary film
91,2018,The Ballad of Buster Scruggs,Impresario,"Segment: ""Meal Ticket"""
92,2018,Widows,Harry Rawlings,
93,2019,Cold Pursuit,Nelson 'Nels' Coxman,
94,2019,Men in Black: International[2],High T[3],
95,2019,Ordinary Love,Tom Thompson,
96,2019,Star Wars: Episode IX - The Rise of Skywalker,Qui-Gon Jinn (voice),Cameo
97,2020,Made in Italy,Robert Foster,
98,2020,Honest Thief,Tom Carter / Tom Dolan,
99,2021,The Marksman,Jim Hanson,
100,2021,The Ice Road,Mike McCann,
101,2022,Blacklight,Travis Block,
102,2022,Memory,Alex Lewis,
103,TBA,Retribution,TBA,Post-Production
104,TBA,Marlowe,Philip Marlowe,Post-Production
105,TBA,In the Land of Saints and Sinners,TBA,Post-Production[4]
106,TBA,Cold Storage,TBA,Pre-Production[5]
107,TBA,Charlie Johnson in the Flames,TBA,Pre-Production[6]
108,TBA,Thug,TBA,Announced[7]
