,Year,Title,Role,Director,Notes
0,1950,Morning Departure,Teaboy,Roy Ward Baker,Uncredited
1,1956,Panic in the Parlour,Sailor,Gordon Parry,Uncredited
2,1956,A Hill in Korea,Private Lockyer,Julian Amyes,Originally titled Hell in Korea
3,1957,The Steel Bayonet,Caine,Michael Carreras,Uncredited
4,1957,How to Murder a Rich Uncle,Gilrony,Nigel Patrick,
5,1958,A Woman of Mystery,Minor Role,Ernest Morris,Uncredited
6,1958,Carve Her Name with Pride,Thirsty Prisoner on Train,Lewis Gilbert,Uncredited
7,1958,The Key,Bit part,Carol Reed,Uncredited
8,1958,Blind Spot,Johnny Brent,Peter Maxwell,
9,1958,The Two-Headed Spy,Gestapo Agent,Andre De Toth,
10,1958,Passport to Shame,Bridegroom,Alvin Rakoff,Also titled Room 43
11,1959,Danger Within,Prisoner with Pin-Up[1],Don Chaffey,Uncredited
12,1960,Foxhole in Cairo,Weber[2][3][4],John Llewellyn Moxey,
13,1960,The Bulldog Breed,Sailor in Cinema Fight[5],Robert Asher,Uncredited
14,1961,The Day the Earth Caught Fire,Checkpoint Policeman[6],Val Guest,Uncredited
15,1962,Solo for Sparrow,Paddy Mooney,Gordon Flemyng,
16,1963,The Wrong Arm of the Law,Police Station PC,Cliff Owen,Uncredited[7]
17,1964,Zulu,Lt. Gonville Bromhead,Cy Endfield,
18,1965,The Ipcress File,Harry Palmer,Sidney J. Furie,
19,1966,Alfie,Alfie Elkins,Lewis Gilbert,Nominated - Academy Award for Best Actor
20,1966,The Wrong Box,Michael Finsbury,Bryan Forbes,
21,1966,Gambit,Harry Tristan Dean,Ronald Neame,
22,1966,Funeral in Berlin,Harry Palmer,Guy Hamilton,
23,1967,Hurry Sundown,Henry Warren,Otto Preminger,
24,1967,Woman Times Seven,Handsome Stranger,Vittorio De Sica,Segment: Show
25,1967,Billion Dollar Brain,Harry Palmer,Ken Russell,
26,1968,Deadfall,Henry Stuart Clarke,Bryan Forbes,
27,1968,The Magus,Nicholas Urfe,Guy Green,
28,1969,The Italian Job,Charlie Croker,Peter Collinson,"Also contributed to soundtrack. Vocals on ""Getta Bloomin' Move On!"""
29,1969,Play Dirty,Captain Douglas,Andre De Toth,
30,1969,Battle of Britain,Squadron Leader Canfield,Guy Hamilton,
31,1970,Too Late the Hero,Pvt. Tosh Hearne,Robert Aldrich,
32,1970,The Last Valley,The Captain,James Clavell,
33,1970,"Simon, Simon",Himself,Graham Stark,Short film
34,1971,Get Carter,Jack Carter,Mike Hodges,
35,1972,Zee and Co.,Robert Blakeley,Brian G. Hutton,
36,1972,Pulp,Mickey King,Mike Hodges,
37,1972,Sleuth,Milo Tindle,Joseph L. Mankiewicz,Nominated - Academy Award for Best Actor
38,1973,Kidnapped,Alan Breck,Delbert Mann,
39,1974,The Black Windmill,Major John Tarrant,Don Siegel,
40,1974,The Marseille Contract,John Deray,Robert Parrish,Released in the U.S. as The Destructors
41,1975,The Wilby Conspiracy,Jim Keogh,Ralph Nelson,
42,1975,The Romantic Englishwoman,Lewis Fielding,Joseph Losey,
43,1975,The Man Who Would Be King,Peachy Carnehan,John Huston,
44,1976,Peeper,Leslie C. Tucker,Peter Hyams,
45,1976,Harry and Walter Go to New York,Adam Worth,Mark Rydell,
46,1976,The Eagle Has Landed,Colonel Kurt Steiner,John Sturges,
47,1977,A Bridge Too Far,Joe Vandeleur,Richard Attenborough,
48,1978,Silver Bears,Doc Fletcher,Ivan Passer,
49,1978,The Swarm,Dr. Bradford Crane,Irwin Allen,
50,1978,California Suite,Sidney Cochran,Herbert Ross,
51,1979,Ashanti,Dr. David Linderby,Richard Fleischer,
52,1979,Beyond the Poseidon Adventure,Captain Mike Turner,Irwin Allen,
53,1980,Dressed to Kill,Dr. Robert Elliott,Brian De Palma,
54,1980,The Island,Blair Maynard,Michael Ritchie,
55,1981,The Hand,Jonathan Lansdale,Oliver Stone,
56,1981,Escape to Victory,Captain John Colby,John Huston,
57,1982,Deathtrap,Sidney Bruhl,Sidney Lumet,
58,1983,Educating Rita,Dr. Frank Bryant,Lewis Gilbert,Nominated - Academy Award for Best Actor
59,1983,The Honorary Consul,"Charley Fortnum, Consul",John Mackenzie,
60,1983,The Jigsaw Man,Philip Kimberly / Sergei Kuzminsky,Terence Young,
61,1983,Monty Python's The Meaning of Life,Soldier,Terry Jones,Uncredited
62,1984,Blame It on Rio,Matthew Hollins,Stanley Donen,
63,1985,Water,Governor Baxter Thwaites,Dick Clement,
64,1985,The Holcroft Covenant,Noel Holcroft,John Frankenheimer,
65,1986,Hannah and Her Sisters,Elliot,Woody Allen,Academy Award for Best Supporting Actor
66,1986,Sweet Liberty,Elliott James,Alan Alda,
67,1986,Mona Lisa,Mortwell,Neil Jordan,
68,1986,Half Moon Street,Lord Sam Bulbeck,Bob Swaim,
69,1986,The Whistle Blower,Frank Jones,Simon Langton,
70,1987,The Fourth Protocol,John Preston,John Mackenzie,Also executive producer
71,1987,Jaws: The Revenge,Hoagie Newcombe,Joseph Sargent,
72,1987,Surrender,Sean Stein,Jerry Belson,
73,1988,Without a Clue,Sherlock Holmes / Reginald Kincaid,Thom Eberhardt,
74,1988,Dirty Rotten Scoundrels,Lawrence Jamieson,Frank Oz,
75,1990,A Shock to the System,Graham Marshall,Jan Egleson,
