,Year,Title,Role,Venue,Ref.
0,1964–70,"Hello, Dolly!",Rudolph,St. James Theatre,[161][162][163]
1,1967,The Niggerlovers,Creampuff,Orpheum Theatre,[164]
2,1969,The Dozens,Kgaravu,Booth Theatre,[165][166]
3,1969,Exhibition,David,Actors' Playhouse,[167][168]
4,1970–71,Purlie,Purlie,Broadway Theatre / Winter Garden Theatre / August Wilson Theatre,[169][170]
5,1978,The Mighty Gents,Zeke,Ambassador Theatre,[139][171]
6,1978,White Pelicans,Winston,Lucille Lortel Theatre,[172][173]
7,1979,Coriolanus,Caius Martius / Coriolanus,Joseph Papp Public Theater/Anspacher Theater/Delacorte Theater,[174][175][176]
8,1979,Julius Caesar,Casca,Joseph Papp Public Theater/Anspacher Theater,[177][178]
9,1980,Mother Courage and Her Children,Chaplain,Joseph Papp Public Theater/Newman Theater,[179][180]
10,1983,Buck,Fred Milly,American Place Theatre,[181][182]
11,1984,Medea and the Doll,Dr. Winston Crews,Samuel Beckett Theatre,[183][184]
12,1987–90,Driving Miss Daisy,Hoke Coleburn,John Houseman Theatre,[4][185]
13,1988,The Gospel at Colonus,Messenger,Lunt-Fontanne Theatre,[186][187]
14,1990,The Taming of the Shrew,Petruchio,Delacorte Theater,[188][189]
15,2008,The Country Girl,Frank Elgin,Bernard B. Jacobs Theatre,[190][191]
16,2011,8,David Boies,Eugene O'Neill Theatre,[192]
