,Year,Title,Role,Notes
0,1996,Bottle Rocket,Dignan,Also writer
1,1996,The Cable Guy,Robin's Date,
2,1997,Anaconda,Gary Dixon,
3,1997,As Good as It Gets,—,Associate producer
4,1998,Armageddon,Oscar Choice,
5,1998,Permanent Midnight,Nicky,
6,1998,Rushmore,—,Co-writer
7,1999,The Haunting,Luke Sanderson,
8,1999,Breakfast of Champions,Monte Rapid,
9,1999,The Minus Man,Vann Siegert,
10,2000,Shanghai Noon,Roy O'Bannon,
11,2000,Meet the Parents,Kevin Rawley,
12,2001,Zoolander,Hansel McDonald,
13,2001,The Royal Tenenbaums,Eli Cash,Also writer
14,2001,Behind Enemy Lines,Lt. Chris Burnett,
15,2002,I Spy,Alex Scott,
16,2002,The Sweatbox,Himself,Archive footage; haven't been released to the public
17,2003,Shanghai Knights,Roy O'Bannon,
18,2003,Yeah Right!,Himself,Cameo
19,2004,The Big Bounce,Jack Ryan,
20,2004,Starsky & Hutch,Ken Hutchinson,
21,2004,Around the World in 80 Days,Wilbur Wright,
22,2004,The Life Aquatic with Steve Zissou,Ned Plimpton,
23,2004,Meet the Fockers,Kevin Rawley,
24,2005,The Wendell Baker Story,Neil King,
25,2005,Wedding Crashers,John Beckwith,
26,2006,Cars,Lightning McQueen,Voice
27,2006,Mater and the Ghostlight,Lightning McQueen,Voice; Short
28,2006,"You, Me and Dupree",Randolph Dupree,Also producer
29,2006,Night at the Museum,Jedediah,Uncredited
30,2007,The Darjeeling Limited,Francis Whitman,
31,2008,Drillbit Taylor,Drillbit Taylor,
32,2008,Marley & Me,John Grogan,
33,2009,Night at the Museum 2,Jedediah,
34,2009,Fantastic Mr. Fox,Coach Skip,Voice
35,2010,Marmaduke,Marmaduke,Voice
36,2010,How Do You Know,Matty Reynolds,
37,2010,Little Fockers,Kevin Rawley,
38,2011,Hall Pass,"Richard ""Rick"" Mills",
39,2011,Midnight in Paris,Gil Pender,
40,2011,Cars 2,Lightning McQueen,Voice
41,2011,The Big Year,Kenny Bostick,
42,2013,The Internship,Nick Campbell,
43,2013,Free Birds,Reggie,Voice
44,2013,Are You Here,Steve Dallas,
45,2014,The Grand Budapest Hotel,M. Chuck,
46,2014,The Hero of Color City,Ricky The Dragon,Voice
47,2014,Inherent Vice,Coy Harlingen,
48,2014,Night at the Museum 3,Jedediah,
49,2015,She's Funny That Way,Arnold Albertson,
50,2015,No Escape,Jack Dwyer,
51,2016,Zoolander 2,Hansel McDonald,
52,2016,Masterminds,Steve Chambers,
53,2017,Lost in London,Himself,
54,2017,Cars 3,Lightning McQueen,Voice
55,2017,Wonder,Nate Pullman,
56,2017,Father Figures,Kyle Reynolds,
57,2021,Bliss,Greg Wittle,
58,2021,The French Dispatch,Herbsaint Salzerac,
59,2022,Marry Me,Charlie Gilbert,
60,2022,Secret Headquarters,,Post-production
61,2023,Haunted Mansion,Kent,Post-production
62,TBA,Paint,Carl Nargle,Post-production
