,Year,Title,Role,Director,Note(s),Ref(s).
0,1965,Encounter,The Nephew,Norman C. Chaitin,Short film,[146]
1,1987,Dear America: Letters Home from Vietnam,Great Sewer,Bill Couturié,Voice roleDocumentary,[147]
2,1998,Lenny Bruce: Swear to Tell the Truth,Narrator,Robert B. Weide,Documentary,[148]
3,2002,9/11,Himself (host),Gédéon Naudet / Jules Naudet / James Hanlon,Documentary,[149]
4,2003,"Hans Hofmann: Artist/Teacher, Teacher/Artist",Narrator,—,Documentary,[150]
5,2011,Corman's World: Exploits of a Hollywood Rebel,Himself,Alex Stapleton,Documentary,[151]
6,2014,The Man Who Saved the World,Himself,Peter Anthony,Documentary,[152]
7,2014,"Remembering the Artist: Robert De Niro, Sr.",Himself,Geeta Gandbhir / Perri Peltz,Documentary short film,[153]
8,2015,The Audition,Himself,Martin Scorsese,Short film,[154]
9,2015,Ellis,Unnamed,JR,Short film,[155]
10,2020,"Father of the Bride, Part 3(ish)",James,Nancy Meyers,Short film,
