,Year,Title,Functioned as,Functioned as,Functioned as,Director,Notes,Ref(s)
,Year,Title,Actor,Producer,Role,Director,Notes,Ref(s)
0,1965,Three Rooms in Manhattan,Uncredited,No,Client At The Diner,Marcel Carné,,[45]
1,1968,The Young Wolves,Uncredited,No,Un Hippie Chez Popov,Marcel Carné,,[46]
2,1968,Greetings,Yes,No,Jon Rubin,Brian De Palma,,[47]
3,1969,Sam's Song aka The Swap,Yes,No,Sam,Jordan Leondopoulos,,[48]
4,1969,The Wedding Party,Yes,No,Cecil,Brian De Palma,,[49]
5,1970,Bloody Mama,Yes,No,Lloyd Barker,Roger Corman,,[50]
6,1970,"Hi, Mom!",Yes,No,Jon Rubin,Brian De Palma,,[51]
7,1971,Jennifer on My Mind,Yes,No,Mardigian,Noel Black,,[52]
8,1971,Born to Win,Yes,No,Officer Danny,Ivan Passer,,[53]
9,1971,The Gang That Couldn't Shoot Straight,Yes,No,Mario Trantino,James Goldstone,,[54]
10,1973,Bang the Drum Slowly,Yes,No,Bruce Pearson,John D. Hancock,,[55]
11,1973,Mean Streets,Yes,No,John 'Johnny Boy' Civello,Martin Scorsese,,[56]
12,1974,The Godfather Part II,Yes,No,Vito Corleone,Francis Ford Coppola,Won Best Supporting Actor Oscar,[1]
13,1976,Taxi Driver,Yes,No,Travis Bickle,Martin Scorsese,,[3]
14,1976,1900,Yes,No,Alfredo Berlinghieri,Bernardo Bertolucci,,[57]
15,1976,The Last Tycoon,Yes,No,Monroe Stahr,Elia Kazan,,[58]
16,1977,"New York, New York",Yes,No,Jimmy Doyle,Martin Scorsese,,[59]
17,1978,The Deer Hunter,Yes,No,Staff Sergeant Michael 'Mike' Vronsky,Michael Cimino,,[60]
18,1980,Raging Bull,Yes,No,Jake LaMotta,Martin Scorsese,Won Best Actor Oscar,[61]
19,1981,True Confessions,Yes,No,Monsignor Desmond 'Des' Spellacy,Ulu Grosbard,,[62]
20,1983,The King of Comedy,Yes,No,Rupert Pupkin,Martin Scorsese,,[63]
21,1984,Once Upon a Time in America,Yes,No,David 'Noodles' Aaronson,Sergio Leone,,[64]
22,1984,Falling in Love,Yes,No,Frank Raftis,Ulu Grosbard,,[65]
23,1985,Brazil,Yes,No,Archibald 'Harry' Tuttle,Terry Gilliam,,[66]
24,1986,The Mission,Yes,No,Rodrigo Mendoza,Roland Joffé,,[67]
25,1987,Angel Heart,Yes,No,Louis Cyphre,Alan Parker,,[68]
26,1987,The Untouchables,Yes,No,Al Capone,Brian De Palma,,[69]
27,1988,Midnight Run,Yes,No,Jack Walsh,Martin Brest,,[70]
28,1989,Jacknife,Yes,No,Joseph 'Jacknife' Megessey,David Jones,,[71]
29,1989,We're No Angels,Yes,Yes,Ned,Neil Jordan,Executive producer,[72]
30,1990,Stanley & Iris,Yes,No,Stanley Everett Cox,Martin Ritt,,[73]
31,1990,Goodfellas,Yes,No,James 'Jimmy The Gent' Conway,Martin Scorsese,,[74]
32,1990,Awakenings,Yes,No,Leonard Lowe,Penny Marshall,,[75]
33,1991,Guilty by Suspicion,Yes,No,David Merrill,Irwin Winkler,,[76]
34,1991,Backdraft,Yes,No,Donald 'Shadow' Rimgale,Ron Howard,,[77]
35,1991,Cape Fear,Yes,Yes,Maximilian 'Max' Cady,Martin Scorsese,,[78]
36,1992,Mistress,Yes,Yes,Evan M. Wright,Barry Primus,,[79]
37,1992,Night and the City,Yes,No,Harry Fabian,Irwin Winkler,,[80]
38,1993,Mad Dog and Glory,Yes,No,Wayne 'Mad Dog' Dobie,John McNaughton,,[81]
39,1993,This Boy's Life,Yes,No,Dwight Hansen,Michael Caton-Jones,,[82]
40,1993,A Bronx Tale,Yes,No,Lorenzo Anello,Himself,Also director,[83]
41,1994,Mary Shelley's Frankenstein,Yes,Yes,The Creature,Kenneth Branagh,Associate producer,[84]
42,1995,Casino,Yes,No,Sam 'Ace' Rothstein,Martin Scorsese,,[85]
43,1995,Heat,Yes,No,Neil McCauley,Michael Mann,,[86]
44,1995,One Hundred and One Nights,Yes,No,Le Mari de la Star-Fantasme en Croisière,Agnès Varda,,[87]
45,1996,The Fan,Yes,No,Gilbert 'Gil' Renard,Tony Scott,,[88]
46,1996,Sleepers,Yes,No,Father Bobby Carillo,Barry Levinson,,[89]
47,1996,Marvin's Room,Yes,Yes,Dr. Wally,Jerry Zaks,,[90]
48,1997,Cop Land,Yes,No,Lieutenant Moe Tilden,James Mangold,,[91]
49,1997,Jackie Brown,Yes,No,Louis Gara,Quentin Tarantino,,[92]
50,1997,Wag the Dog,Yes,Yes,Conrad Brean,Barry Levinson,,[93]
51,1998,Great Expectations,Yes,No,Arthur Lustig,Alfonso Cuarón,,[94]
52,1998,Ronin,Yes,No,CIA Agent Sam Regazolli,John Frankenheimer,,[95]
53,1999,Analyze This,Yes,No,Paul Vitti,Harold Ramis,,[96]
54,1999,Flawless,Yes,Yes,Walter Koontz,Joel Schumacher,,[97]
55,2000,The Adventures of Rocky and Bullwinkle,Yes,Yes,Fearless Leader,Des McAnuff,,[98]
56,2000,Men of Honor,Yes,No,Chief Leslie William 'Billy' Sunday,George Tillman Jr.,,[99]
57,2000,Meet the Parents,Yes,Yes,Jack Tiberius Byrnes,Jay Roach,,[100]
58,2001,15 Minutes,Yes,No,Detective Eddie Flemming,John Herzfeld,,[101]
59,2001,The Score,Yes,No,Nick Wells,Frank Oz,,[102]
60,2002,Showtime,Yes,No,Detective Mitch Preston,Tom Dey,,[103]
61,2002,City by the Sea,Yes,No,Vincent Anthony LaMarca,Michael Caton-Jones,,[104]
62,2002,Analyze That,Yes,No,Paul Vitti,Harold Ramis,,[105]
63,2004,Godsend,Yes,No,Dr. Richard Wells,Nick Hamm,,[106]
64,2004,Shark Tale,Yes,No,Don Lino,Bibo Bergeron / Vicky Jenson / Rob Letterman,Voice role,[107]
65,2004,Meet the Fockers,Yes,Yes,Jack Tiberius Byrnes,Jay Roach,,[108]
66,2004,The Bridge of San Luis Rey,Yes,No,The Archbishop of Lima,Mary McGuckian,,[109]
67,2005,Hide and Seek,Yes,No,David Callaway / Charlie,John Polson,,[110]
68,2006,The Good Shepherd,Yes,Yes,General Bill Sullivan,Himself,Also director and producer,[111]
69,2006,Arthur and the Invisibles,Yes,No,Emperor Sifrat XVI,Luc Besson,Voice role,[112]
70,2007,Stardust,Yes,No,Captain Shakespeare,Matthew Vaughn,,[113]
71,2008,Righteous Kill,Yes,No,Detective Tom 'Turk' Cowan,Jon Avnet,,[114]
72,2008,What Just Happened,Yes,Yes,Ben,Barry Levinson,,[115]
73,2009,Everybody's Fine,Yes,No,Frank,Kirk Jones,,[116]
74,2010,Machete,Yes,No,Senator John McLaughlin,Ethan Maniquis / Robert Rodriguez,,[117]
75,2010,Stone,Yes,No,Jack Mabry,John Curran,,[118]
76,2010,Little Fockers,Yes,Yes,Jack Tiberius Byrnes,Paul Weitz,,[119]
77,2011,The Ages of Love,Yes,No,Adrian,Giovanni Veronesi,,[120]
78,2011,Killer Elite,Yes,No,Hunter,Gary McKendry,,[121]
79,2011,Limitless,Yes,No,Carl Van Loon,Neil Burger,,[122]
80,2011,New Year's Eve,Yes,No,Stan Harris,Garry Marshall,,[123]
81,2012,Being Flynn,Yes,No,Jonathan Flynn,Paul Weitz,,[124]
82,2012,Red Lights,Yes,No,Simon Silver,Rodrigo Cortés,,[125]
83,2012,Freelancers,Yes,No,Sarcone,Jessy Terrero,,[126]
84,2012,Silver Linings Playbook,Yes,No,Patrizio 'Pat' Solitano Sr.,David O. Russell,,[127]
85,2013,The Big Wedding,Yes,No,Don Griffin,Justin Zackham,,[128]
86,2013,Killing Season,Yes,No,Colonel Ben Ford,Mark Steven Johnson,,[129]
87,2013,The Family,Yes,No,Giovanni Manzoni / Fred Blake,Luc Besson,,[130]
88,2013,Last Vegas,Yes,No,Patrick 'Paddy' Connors,Jon Turteltaub,,[131]
89,2013,American Hustle,Uncredited,No,Victor Tellegio,David O. Russell,,[132]
90,2013,Grudge Match,Yes,No,Billy 'The Kid' McDonnen,Peter Segal,,[133]
91,2014,The Bag Man,Yes,No,Dragna,David Grovic,,[134]
92,2015,The Intern,Yes,No,Ben Whittaker,Nancy Meyers,,[135]
93,2015,Heist,Yes,No,Frank 'The Pope' Silva,Scott Mann,,[136]
94,2015,Joy,Yes,No,Rudy Mangano,David O. Russell,,[137]
95,2016,Dirty Grandpa,Yes,No,Lieutenant Colonel Richard 'Dick' Kelly,Dan Mazer,,[138]
96,2016,Hands of Stone,Yes,No,Ray Arcel,Jonathan Jakubowicz,,[139]
97,2016,The Comedian,Yes,No,Jakov Berkowitz / Jackie Burke,Taylor Hackford,,[140]
98,2019,Joker,Yes,No,Murray Franklin,Todd Phillips,,[141]
99,2019,The Irishman,Yes,Yes,Frank 'The Irishman' Sheeran,Martin Scorsese,,[142]
100,2020,The War with Grandpa,Yes,No,Ed Marino,Tim Hill,,[143]
101,2020,The Comeback Trail,Yes,No,Max Barber,George Gallo,,[144]
102,2022,Amsterdam,Yes,No,TBA,David O. Russell,Post-production,
103,2022,Wash Me in the River,Yes,No,TBA,Randall Emmett,Post-production,[145]
104,2022,Killers of the Flower Moon,Yes,No,William Hale,Martin Scorsese,Post-production,
105,TBA,About My Father,Yes,No,Salvo Maniscalco,Laura Terruso,Post-production,
