,Year,Title,Role,Notes,Ref.
0,1970,Pound,Puppy,,[5]
1,1972,Greaser's Palace,Small Boy in Covered Wagon,Uncredited,[6]
2,1975,Two Tons of Turquoise to Taos Tonight,Himself,Uncredited; aka Moment to Moment,[7]
3,1980,Up the Academy,Boy on Soccer Team,Uncredited,[8]
4,1983,Baby It's You,Stewart,,[5]
5,1984,Firstborn,Lee,,[9]
6,1985,Tuff Turf,Jimmy Parker,,[10]
7,1985,Girls Just Want to Have Fun,Punk Party Crasher,Uncredited,[11]
8,1985,Weird Science,Ian,,[12]
9,1985,Deadwait,,Short,[13]
10,1986,Back to School,Derek Lutz,,[12]
11,1987,The Pick-up Artist,Jack Jericho,,[12]
12,1987,Less Than Zero,Julian Wells,,[9]
13,1988,Johnny Be Good,Leo Wiggins,,[12]
14,1988,Rented Lips,Wolf Dangler,,[12]
15,1988,1969,Ralph Karr,,[12]
16,1988,That's Adequate,Albert Einstein,,[14]
17,1989,True Believer,Roger Baron,,[12]
18,1989,Chances Are,Alex Finch / Louie Jefferies,,[15]
19,1990,Air America,Billy Covington,,[16]
20,1991,Too Much Sun,Reed Richmond,,[17]
21,1991,Soapdish,David Seton Barnes,,[18]
22,1992,Chaplin,Charlie Chaplin,,[19]
23,1993,Heart and Souls,Thomas Reilly,,[20]
24,1993,The Last Party,Himself,Documentary; also writer,[21]
25,1993,Short Cuts,Bill Bush,,[22]
26,1994,Hail Caesar,Jerry,,[23]
27,1994,Natural Born Killers,Wayne Gale,,[24]
28,1994,Only You,Peter Wright,,[25]
29,1995,Richard III,Earl Rivers,,[26]
30,1995,Home for the Holidays,Tommy Larson,,[27]
31,1995,Restoration,Robert Merivel,,[28]
32,1996,Danger Zone,Jim Scott,,[29]
33,1997,One Night Stand,Charlie,,[30]
34,1997,Two Girls and a Guy,Blake Allen,,[31]
35,1997,Hugo Pool,Franz Mazur,,[32]
36,1998,The Gingerbread Man,Clyde Pell,,[33]
37,1998,U.S. Marshals,Special Agent John Royce,,[16]
38,1999,In Dreams,Vivian Thompson,,[34]
39,1999,Friends & Lovers,Hans,,[35]
40,1999,Bowfinger,Jerry Renfro,,[36]
41,1999,Black and White,Terry Donager,,[37]
42,2000,Wonder Boys,Terry Crabtree,,[38]
43,2002,Lethargy,Animal therapist,Short film,[39]
44,2003,Whatever We Do,Bobby,Short film,[40]
45,2003,The Singing Detective,Dan Dark,,[9]
46,2003,Charlie: The Life and Art of Charles Chaplin,Himself,Documentary,[41]
47,2003,Gothika,Pete Graham,,[42]
48,2004,Eros,Nick Penrose,"Segment: ""Equilibrium""",[43]
49,2005,Game 6,Steven Schwimmer,,[44]
50,2005,Kiss Kiss Bang Bang,Harry Lockhart,,[16]
51,2005,The Outsider,Himself,Documentary,[45]
52,2005,"Good Night, and Good Luck",Joseph Wershba,,[46]
53,2005,Hubert Selby Jr.: It/ll Be Better Tomorrow,Narrator,Documentary,[47]
54,2006,A Guide to Recognizing Your Saints,Dito Montiel,Also co-producer,[48]
55,2006,The Shaggy Dog,Dr. Kozak,,[49]
56,2006,A Scanner Darkly,James Barris,,[50]
57,2006,Fur,Lionel Sweeney,,[51]
58,2007,Zodiac,Paul Avery,,[52]
59,2007,Lucky You,Telephone Jack,Cameo,[33]
60,2007,Charlie Bartlett,Principal Nathan Gardner,,[53]
61,2008,Iron Man,Tony Stark / Iron Man,,[54]
62,2008,The Incredible Hulk,Tony Stark / Iron Man,Uncredited cameo,[55]
63,2008,Tropic Thunder,Kirk Lazarus,,[16]
64,2009,The Soloist,Steve Lopez,,[56]
65,2009,Sherlock Holmes,Sherlock Holmes,,[16]
66,2010,Iron Man 2,Tony Stark / Iron Man,,[57]
67,2010,Love & Distrust,Rob,"Segment: ""Auto Motives""",[58]
68,2010,Due Date,Peter Highman,,[59]
69,2011,Sherlock Holmes: A Game of Shadows,Sherlock Holmes,,[60]
70,2012,The Avengers,Tony Stark / Iron Man,,[61]
71,2013,Iron Man 3,Tony Stark / Iron Man,,[62]
72,2014,The Judge,Hank Palmer,Also executive producer,[16]
73,2014,Chef,Marvin,Cameo,[63]
74,2015,Avengers: Age of Ultron,Tony Stark / Iron Man,,[62]
75,2016,The Nice Guys,Sid Shattuck,Uncredited cameo,[62]
76,2016,Captain America: Civil War,Tony Stark / Iron Man,,[62]
77,2017,Spider-Man: Homecoming,Tony Stark / Iron Man,,[64]
78,2018,Avengers: Infinity War,Tony Stark / Iron Man,,[62]
79,2019,Avengers: Endgame,Tony Stark / Iron Man,,[65]
80,2020,Dolittle,Dr. John Dolittle,Also executive producer,[66]
81,2023,Oppenheimer,Lewis Strauss,Post-production,[67]
82,TBA,All-Star Weekend,Mexican Stranger,Completed,[68]
