,Year,Title,Role,Notes,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
0,1985–1986,Saturday Night Live,Various characters,16 episodes,[12]
1,1985,Mussolini: The Untold Story,Bruno Mussolini,3 episodes,[69]
2,1995,Mr. Willowby's Christmas Tree,Mr. Willowby,Television special,[70]
3,1996,Saturday Night Live,Himself (host),"Episode: ""Robert Downey, Jr./Fiona Apple""",[71]
4,2000–2002,Ally McBeal,Larry Paul,21 episodes,[72]
5,2005,Family Guy,Patrick Pewterschmidt (voice),"Episode: ""The Fat Guy Strangler""",[73]
6,2019,The Age of A.I.,Himself (host),8 episodes,[74]
7,2020,Perry Mason,None,As executive producer; 8 episodes,[75]
8,2021,Sweet Tooth,None,As executive producer; 8 episodes,[76]
9,TBA,The Sympathizer,TBA,Also executive producer,[77]
