,Year,Title,Role,Notes,Ref.
0,1972,Together for Days,Stan,,[20]
1,1981,Ragtime,Gang member No. 2,,[21][22]
2,1987,Magic Sticks,Bum,Credited as Sam Jackson,[23]
3,1987,Eddie Murphy Raw,Jon Kelcourse,,[24]
4,1988,Coming to America,Hold-Up Man,,[25]
5,1988,School Daze,Leeds,,[22]
6,1989,Do the Right Thing,Mister Señor Love Daddy,Credited as Sam Jackson,[26]
7,1989,Sea of Love,Black Guy,,[22][27]
8,1990,Def by Temptation,Minister Garth,,[28]
9,1990,A Shock to the System,Ulysses,,[22]
10,1990,Betsy's Wedding,Taxi Dispatcher,,[22]
11,1990,Mo' Better Blues,Madlock,,[29]
12,1990,The Exorcist III,Blind Dream Man,,[30]
13,1990,Goodfellas,Stacks Edwards,,[22]
14,1990,The Return of Superfly,Nate Cabot,Credited as Sam Jackson,[31]
15,1991,Strictly Business,Monroe,Credited as Sam Jackson,[22]
16,1991,Jungle Fever,Gator Purify,,[22][32]
17,1991,Jumpin' at the Boneyard,Mr. Simpson,,[33]
18,1991,Johnny Suede,B-Bop,,[22]
19,1992,Juice,Trip,,[34]
20,1992,Patriot Games,Robby Jackson,,[35]
21,1992,White Sands,Greg Meeker,Credited as Sam Jackson,[36]
22,1992,Fathers & Sons,Marshall,,[37]
23,1993,Menace II Society,Tat Lawson,,[22][38]
24,1993,Loaded Weapon 1,Sgt. Wes Luger,,[39]
25,1993,Amos & Andrew,Andrew Sterling,,[22][40]
26,1993,Jurassic Park,"John ""Ray"" Arnold",,[41]
27,1993,True Romance,Big Don,,[42]
28,1994,Fresh,Sam,,[43]
29,1994,Pulp Fiction,Jules Winnfield,,[44]
30,1994,The New Age,Dale,,[45]
31,1994,Hail Caesar,Mailman,,[46]
32,1994,Assault at West Point,Richard Theodore Greener,,[47]
33,1994,The Search for One-eye Jimmy,Colonel Ron,,[48]
34,1995,Kiss of Death,Calvin Hart,,[49]
35,1995,Die Hard with a Vengeance,Zeus Carver,,[8]
36,1995,Losing Isaiah,Kadar Lewis,,[50][51]
37,1995,Fluke,Rumbo,Voice,[52]
38,1996,The Great White Hype,Rev. Fred Sultan,,[53]
39,1996,A Time to Kill,Carl Lee Hailey,,[54]
40,1996,The Long Kiss Goodnight,Mitch Henessey,,[55]
41,1996,Hard Eight,Jimmy,,[56]
42,1996,Trees Lounge,Wendell,,[57]
43,1997,One Eight Seven,Trevor Garfield,,[58]
44,1997,Teens and Guns: Preventing Violence,Himself,,[59][60]
45,1997,Eve's Bayou,Louis Batiste,Also producer,[61][62]
46,1997,Jackie Brown,Ordell,,[63]
47,1998,Sphere,Harry Adams,,[64]
48,1998,The Negotiator,Lt. Danny Roman,,[65]
49,1998,The Red Violin,Charles Morritz,,[66]
50,1998,Out of Sight,Hejira Henry,Uncredited,[67]
51,1999,Star Wars: Episode I – The Phantom Menace,Mace Windu,,[68]
52,1999,Deep Blue Sea,Russell Franklin,,[69]
53,2000,Rules of Engagement,Col. Terry L. Childers,,[70]
54,2000,Shaft,John Shaft,,[71]
55,2000,Unbreakable,Elijah Price / Mr. Glass,,[72]
56,2001,The Caveman's Valentine,Romulus Ledbetter,Also executive producer,[73][74]
57,2001,The 51st State,Elmo McElroy,,[75]
58,2002,Changing Lanes,Doyle Gipson,,[76]
59,2002,Star Wars: Episode II – Attack of the Clones,Mace Windu,,[77]
60,2002,XXX,Agent Augustus Gibbons,,[78][79]
61,2002,No Good Deed,Jack Friar,,[80]
62,2003,Basic,Sergeant Nathan West,,[81][82]
63,2003,S.W.A.T.,Hondo Harrelson,,[83]
64,2004,Twisted,John Mills,,[84]
65,2004,Kill Bill: Volume 2,Organ player,,[85]
66,2004,The Incredibles,Lucius Best / Frozone,Voice,[14]
67,2004,In My Country,Langston Whitfield,,[86]
68,2004,Unforgivable Blackness,Jack Johnson,"Voice, documentary film",[87]
69,2005,Coach Carter,Ken Carter,,[88]
70,2005,XXX: State of the Union,Agent Augustus Gibbons,,[89]
71,2005,Star Wars: Episode III – Revenge of the Sith,Mace Windu,,[90]
72,2005,The Man,Derrick Vann,,[91]
73,2006,Freedomland,Lorenzo Council,,[92]
74,2006,Snakes on a Plane,Agent Neville Flynn,,[93]
75,2006,Home of the Brave,Dr. Will Marsh,,[94]
