,Year,Title,Role,Notes,Ref.
0,2004,Grand Theft Auto: San Andreas,Officer Frank Tenpenny,,[223]
1,2004,The Incredibles,Lucius Best / Frozone,Based on the movie,[224]
2,2004,The Incredibles: When Danger Calls,Lucius Best / Frozone,,[225]
3,2008,Afro Samurai,Afro Samurai / Ninja Ninja,,[226]
4,2010,Heroes of Newerth,Samuel Jackson announcer,Unique read lines in purchasable pack,[227]
5,2010,Iron Man 2,Nick Fury,,[228]
6,2011,Lego Star Wars III: The Clone Wars,Mace Windu,,[229]
7,2014,Disney Infinity: Marvel Super Heroes,Nick Fury,,[230][231]
8,2015,Disney Infinity 3.0,Nick Fury,,[232]
9,2021,Grand Theft Auto: The Trilogy – The Definitive Edition,Officer Frank Tenpenny,Archival recordingsRemaster of Grand Theft Auto: San Andreas only,[233]
