,Year,Title,Role,Notes,Ref.
0,1994,North,Laura Nelson,,[1][12]
1,1995,Just Cause,Katie Armstrong,,[13]
2,1996,If Lucy Fell,Emily,,[14]
3,1996,Manny & Lo,"Amanda ""Manny""",,[13]
4,1997,Fall,Little Girl,,[13]
5,1997,Home Alone 3,Molly Pruitt,,[15]
6,1998,The Horse Whisperer,Grace MacLean,,[16]
7,1999,My Brother the Pig,Kathy Caldwell,,[17]
8,2001,The Man Who Wasn't There,"Rachel ""Birdy"" Abundas",,[18][19]
9,2001,Ghost World,Rebecca Doppelmeyer,,[20]
10,2001,An American Rhapsody,Suzanne Sandor (age 15),,[21][22]
11,2002,Eight Legged Freaks,Ashley Parker,,[23]
12,2003,Lost in Translation,Charlotte,,[24]
13,2003,Girl with a Pearl Earring,Griet,,[25]
14,2004,The Perfect Score,Francesca,,[26]
15,2004,A Love Song for Bobby Long,Pursy,,[27]
16,2004,A Good Woman,Meg Windermere,,[28]
17,2004,The SpongeBob SquarePants Movie,Princess Mindy (voice),,[29]
18,2004,In Good Company,Alex Foreman,,[30][31]
19,2005,Match Point,Nola Rice,,[32]
20,2005,The Island,Jordan Two Delta / Sarah Jordan,,[33]
21,2006,Scoop,Sondra Pransky,,[34]
22,2006,The Black Dahlia,Kay Lake,,[35]
23,2006,The Prestige,Olivia Wenscombe,,[36]
24,2007,The Nanny Diaries,Annie Braddock,,[37]
25,2008,The Other Boleyn Girl,Mary Boleyn,,[38]
26,2008,Vicky Cristina Barcelona,Cristina,,[39]
27,2008,The Spirit,Silken Floss,,[40]
28,2009,He's Just Not That Into You,Anna,,[41]
29,2009,These Vagabond Shoes,—,"Director and writer; Short film; DVD extra of 2008 film New York, I Love You",[42][43]
30,2010,Iron Man 2,Natasha Romanoff / Black Widow,,[44]
31,2011,The Whale,—,Executive producer; Documentary,[45]
32,2011,We Bought a Zoo,Kelly Foster,,[46]
33,2012,The Avengers,Natasha Romanoff / Black Widow,,[47]
34,2012,Hitchcock,Janet Leigh,,[48]
35,2013,Don Jon,Barbara Sugarman,,[49]
36,2013,Under the Skin,Laura,,[50]
37,2013,Her,Samantha (voice),,[51]
38,2014,Captain America: The Winter Soldier,Natasha Romanoff / Black Widow,,[52]
39,2014,Chef,Molly,,[53]
40,2014,Lucy,Lucy,,[54]
41,2015,Avengers: Age of Ultron,Natasha Romanoff / Black Widow,,[55]
42,2016,"Hail, Caesar!",DeeAnna Moran,,[56]
43,2016,The Jungle Book,Kaa (voice),,[57]
44,2016,Captain America: Civil War,Natasha Romanoff / Black Widow,,[58]
45,2016,Sing,Ash (voice),,[59]
46,2017,Ghost in the Shell,Major Mira Killian / Motoko Kusanagi,,[60]
47,2017,Rough Night,"Jessica ""Jess"" Thayer",,[61][62]
48,2018,Isle of Dogs,Nutmeg (voice),,[63]
49,2018,Avengers: Infinity War,Natasha Romanoff / Black Widow,,[64]
50,2019,Captain Marvel,Natasha Romanoff / Black Widow,Uncredited cameo; mid-credits scene,[65]
51,2019,Avengers: Endgame,Natasha Romanoff / Black Widow,,[66]
52,2019,Marriage Story,Nicole Barber,,[67]
53,2019,Jojo Rabbit,Rosie Betzler,,[68]
54,2021,Black Widow,Natasha Romanoff / Black Widow,Also executive producer,[69][70]
55,2021,Sing 2,Ash (voice),,[71][72]
56,TBA,Asteroid City,TBA,Post-production,[73]
57,TBA,My Mother's Wedding,TBA,Filming,[74]
