,Year,Title,Accolade,Results
0,1981,Coal Miner's Daughter,"Golden Globe Award, Best Lead Actor in a Motion Picture - Comedy or Musical",Nominated
1,1983,The Executioner's Song,"Primetime Emmy Award, Outstanding Lead Actor in a Limited Series or a Special",Won
2,1989,Lonesome Dove,"Primetime Emmy Award, Outstanding Lead Actor in a Limited Series or a Special",Nominated
3,1990,Lonesome Dove,"Golden Globe Award, Best Supporting Actor in a Series, Miniseries or Motion Picture Made for Television",Nominated
4,1990,Lonesome Dove,"Western Heritage Award, Television Feature Film",Won
5,1992,JFK,"Academy Award, Best Supporting Actor",Nominated
6,1992,JFK,"Dallas-Fort Worth Film Critics Association Award, Best Supporting Actor",Won
7,1993,The Fugitive,"Award Circuit Community Award, Best Supporting Actor",Nominated
8,1993,JFK,"British Academy Film Award, Best Supporting Actor",Nominated
9,1993,,"Boston Film Festival Award, Film Excellence Award",Won
10,1993,The Fugitive,"Kansas City Film Critics Circle Award, Best Supporting Actor",Won
11,1993,The Fugitive,"Los Angeles Film Critics Association Award, Best Supporting Actor",Won
12,1993,The Fugitive,"New York Film Critics Circle Award, Best Supporting Actor",Nominated
13,1994,The Fugitive,"Academy Award, Best Supporting Actor",Won
14,1994,The Fugitive,"British Academy Film Award, Best Supporting Actor",Nominated
15,1994,The Fugitive,"Chicago Film Critics Association Award, Best Supporting Actor",Nominated
16,1994,The Fugitive,"Golden Globe Award, Best Supporting Actor in a Motion Picture",Won
17,1994,The Fugitive,"MTV Movie + TV Award, Best On-Screen Duo (shared with Harrison Ford)",Won
18,1994,The Fugitive,"National Society of Film Critics Award, Best Supporting Actor",Nominated
19,1994,The Fugitive,"Southeastern Film Critics Association Award, Best Supporting Actor",Won
20,1994,,"Walk of Fame - Star on the Walk of Fame, Motion Picture 6925 Hollywood, Blvd.",Won
21,1995,The Good Old Boys,"CableACE Award, Best Actor in a Movie or Miniseries",Nominated
22,1995,Cobb,"Chicago Film Critics Association Award, Best Lead Actor",Nominated
23,1995,The Good Old Boys,"Lone Star Film & Television Award, Best Television Director",Won
24,1995,The Good Old Boys,"Lone Star Film & Television Award, Best Television Actor",Won
25,1995,Blown Away,"MTV Movie + TV Award, Best Villain",Nominated
26,1996,Batman Forever,"MTV Movie + TV Award, Best Villain",Nominated
27,1996,The Good Old Boys,"Screen Actors Guild Award, Outstanding Performance by a Male Actor in a Television Movie or Miniseries",Nominated
28,1997,,"USA Film Festival Award, Master Screen Artist Tribute",Won
29,1998,Men in Black,"Blockbuster Entertainment Award, Favorite Lead Actor - Sci-Fi",Nominated
30,1998,Men in Black,"MTV Movie + TV Award, Best On-Screen Duo (shared with Will Smith)",Nominated
31,1998,Men in Black,"Online Film & Television Association Award, Best Lead Actor in a Sci-Fi/Fantasy/Horror",Nominated
32,1998,Men in Black,"Satellite Award, Best Lead Actor in a Motion Picture - Comedy or Musical",Nominated
33,1999,U.S. Marshals,"Blockbuster Entertainment Award, Favorite Duo - Action/Adventure (shared with Wesley Snipes)",Nominated
