,Year,Title,Functioned as,Functioned as,Functioned as,Notes,Ref(s)
,Year,Title,Actor,Producer,Role,Notes,Ref(s)
0,1992,Where the Day Takes You,Yes,No,Manny,,[19]
1,1993,Made in America,Yes,No,Tea Cake Walters,,[20]
2,1993,Six Degrees of Separation,Yes,No,Paul,,[21]
3,1995,Bad Boys,Yes,No,Mike Lowrey,,[22]
4,1996,Independence Day,Yes,No,Capt. Steven Hiller,,[6]
5,1997,Men in Black,Yes,No,James Edwards / Agent J[b],,[23]
6,1998,Enemy of the State,Yes,No,Robert Clayton Dean,,[24]
7,1999,Wild Wild West,Yes,No,Captain James West,,[25]
8,2000,The Legend of Bagger Vance,Yes,No,Bagger Vance,,[26]
9,2001,Ali,Yes,No,Muhammad Ali,,[27]
10,2002,Showtime,No,Yes,—,Executive producer,[4][28]
11,2002,Men in Black II,Yes,No,James Edwards / Agent J,,[29]
12,2003,Bad Boys II,Yes,No,Mike Lowrey,,[30]
13,2003,Ride or Die,No,Yes,—,Executive producer,[4][31]
14,2004,Jersey Girl,Yes,No,Himself,Cameo,[32][33]
15,2004,"I, Robot",Yes,Yes,Detective Del Spooner,Executive producer,[34]
16,2004,The Seat Filler,No,Yes,—,Executive producer,[4][35]
17,2004,Saving Face,No,Yes,—,,[4][36]
18,2004,Shark Tale,Yes,No,Oscar (voice),,[37]
19,2005,Hitch,Yes,Yes,"Alex ""Hitch"" Hitchens",,[38]
20,2006,ATL,No,Yes,—,,[4][39]
21,2006,The Pursuit of Happyness,Yes,Yes,Chris Gardner,,[40]
22,2007,I Am Legend,Yes,No,Robert Neville,,[41]
23,2008,Hancock,Yes,Yes,John Hancock,,[42]
24,2008,The Human Contract,No,Yes,—,Executive producer,[4][43]
25,2008,The Secret Life of Bees,No,Yes,—,,[4][44]
26,2008,Lakeview Terrace,No,Yes,—,,[4][45]
27,2008,Seven Pounds,Yes,Yes,Tim Thomas,,[46]
28,2010,The Karate Kid,No,Yes,—,,[47]
29,2012,This Means War,No,Yes,—,,[48]
30,2012,Men in Black 3,Yes,No,James Edwards / Agent J,,[49]
31,2013,After Earth,Yes,Yes,Cypher Raige,Also wrote story,[50]
32,2013,Anchorman 2: The Legend Continues,Yes,No,ESPN Reporter,Cameo,[51]
33,2014,Winter's Tale,Yes,No,Lucifer,Cameo,[52]
34,2014,Annie,No,Yes,—,,[53]
35,2015,Focus,Yes,No,Nicky Spurgeon,,[54]
36,2015,Concussion,Yes,No,Bennet Omalu,,[55]
37,2016,Suicide Squad,Yes,No,Floyd Lawton / Deadshot[b],,[56][57]
38,2016,Collateral Beauty,Yes,No,Howard Inlet,,[58][59]
39,2017,Bright,Yes,No,Daryl Ward,,[60][61]
40,2019,Student of the Year 2,Yes,No,Himself,Cameo; Bollywood film,[62]
41,2019,Aladdin,Yes,No,Genie / Mariner,,[63][64]
42,2019,Dads,Yes,No,Himself,Documentary,[65]
43,2019,Gemini Man,Yes,No,Henry Brogan / Junior,,[66]
44,2019,Spies in Disguise,Yes,No,Lance Sterling (voice),,[67]
45,2020,Bad Boys for Life,Yes,Yes,Mike Lowrey,,[68][69]
46,2020,Life in a Year,No,Yes,—,Executive producer,[70]
47,2021,King Richard,Yes,Yes,Richard Williams,,[71]
48,2023,Emancipation,Yes,Yes,Peter,Post-production,[72]
